Regulator	Target
KLMA_60316	KLMA_10779
KLMA_80297	KLMA_60401
KLMA_50398	KLMA_20076
KLMA_10427	KLMA_60461
KLMA_20341	KLMA_10422
KLMA_40242	KLMA_80384
KLMA_40242	KLMA_30485
KLMA_20807	KLMA_10812
KLMA_20059	KLMA_40312
KLMA_50490	KLMA_50096
KLMA_30330	KLMA_20123
KLMA_40315	KLMA_10685
KLMA_50398	KLMA_10782
KLMA_30500	KLMA_60193
KLMA_60535	KLMA_20707
KLMA_30668	KLMA_40263
KLMA_50528	KLMA_10805
KLMA_20280	KLMA_40281
KLMA_10330	KLMA_50142
KLMA_50305	KLMA_20213
KLMA_30372	KLMA_80194
KLMA_20669	KLMA_60190
KLMA_10427	KLMA_80421
KLMA_20641	KLMA_20274
KLMA_50398	KLMA_30293
KLMA_10363	KLMA_20516
KLMA_10460	KLMA_70387
KLMA_70177	KLMA_40096
KLMA_10183	KLMA_80177
KLMA_30333	KLMA_50536
KLMA_70081	KLMA_10691
KLMA_30576	KLMA_30580
KLMA_30372	KLMA_80029
KLMA_50490	KLMA_60537
KLMA_60033	KLMA_20022
KLMA_20280	KLMA_10310
KLMA_40232	KLMA_10227
KLMA_50125	KLMA_60479
KLMA_40311	KLMA_10374
KLMA_30633	KLMA_50415
KLMA_70361	KLMA_70406
KLMA_40315	KLMA_20775
KLMA_60028	KLMA_50267
KLMA_80046	KLMA_20301
KLMA_60546	KLMA_60378
KLMA_60332	KLMA_80335
KLMA_60028	KLMA_70284
KLMA_20253	KLMA_40177
KLMA_40242	KLMA_40054
KLMA_10363	KLMA_70129
KLMA_50528	KLMA_70159
KLMA_50305	KLMA_80210
KLMA_40232	KLMA_40273
KLMA_60266	KLMA_70384
KLMA_30566	KLMA_80028
KLMA_20125	KLMA_10481
KLMA_60033	KLMA_20053
KLMA_60321	KLMA_40592
KLMA_80143	KLMA_40299
KLMA_30699	KLMA_10218
KLMA_60237	KLMA_70223
KLMA_60152	KLMA_40381
KLMA_50305	KLMA_60260
KLMA_30333	KLMA_80254
