"Gene"	"Module"	"kWithin"
"1"	"KLMA_60099"	"antiquewhite4"	63.7190714831805
"2"	"KLMA_70011"	"antiquewhite4"	61.8597660881598
"3"	"KLMA_50063"	"antiquewhite4"	61.6772102981927
"4"	"KLMA_40342"	"antiquewhite4"	59.7212033519933
"5"	"KLMA_50305"	"antiquewhite4"	59.4325848093778
"6"	"KLMA_20831"	"antiquewhite4"	59.3041072670009
"7"	"KLMA_20423"	"antiquewhite4"	58.7354039297797
"8"	"KLMA_20326"	"antiquewhite4"	57.7457240295442
"9"	"KLMA_40178"	"antiquewhite4"	57.4137000777013
"10"	"KLMA_20490"	"antiquewhite4"	57.2836309612717
"11"	"KLMA_70241"	"antiquewhite4"	57.0368618938105
"12"	"KLMA_20028"	"antiquewhite4"	56.4490671082434
"13"	"KLMA_30133"	"antiquewhite4"	55.5421104201277
"14"	"KLMA_40008"	"antiquewhite4"	55.3417512606198
"15"	"KLMA_10432"	"antiquewhite4"	54.6975616909586
"16"	"KLMA_30275"	"antiquewhite4"	53.8605230458804
"17"	"KLMA_30201"	"antiquewhite4"	52.7169630548411
"18"	"KLMA_40084"	"antiquewhite4"	51.9029376544399
"19"	"KLMA_50595"	"antiquewhite4"	51.2864195603334
"20"	"KLMA_40481"	"antiquewhite4"	51.0372005337231
"21"	"KLMA_10819"	"antiquewhite4"	50.921892270606
"22"	"KLMA_20414"	"antiquewhite4"	50.7035985580043
"23"	"KLMA_40194"	"antiquewhite4"	50.3785641332606
"24"	"KLMA_50038"	"antiquewhite4"	50.2090729661405
"25"	"KLMA_30286"	"antiquewhite4"	49.6335897959161
"26"	"KLMA_60286"	"antiquewhite4"	49.6210464987507
"27"	"KLMA_10107"	"antiquewhite4"	49.2658551048051
"28"	"KLMA_60065"	"antiquewhite4"	48.9003159365935
"29"	"KLMA_10709"	"antiquewhite4"	48.7062307794832
"30"	"KLMA_20390"	"antiquewhite4"	48.6405832638308
"31"	"KLMA_10561"	"antiquewhite4"	48.3475689901907
"32"	"KLMA_30524"	"antiquewhite4"	48.0122170139159
"33"	"KLMA_20685"	"antiquewhite4"	47.6875755232533
"34"	"KLMA_80231"	"antiquewhite4"	47.6081200004991
"35"	"KLMA_20670"	"antiquewhite4"	47.4274180246542
"36"	"KLMA_50631"	"antiquewhite4"	46.9982490761555
"37"	"KLMA_40400"	"antiquewhite4"	46.966112568137
"38"	"KLMA_10065"	"antiquewhite4"	46.7972030380816
"39"	"KLMA_10834"	"antiquewhite4"	46.4237620475165
"40"	"KLMA_20175"	"antiquewhite4"	46.3443969227289
"41"	"KLMA_40593"	"bisque4"	32.7809824230298
"42"	"KLMA_20549"	"bisque4"	29.977004698406
"43"	"KLMA_30067"	"bisque4"	29.847346189915
"44"	"KLMA_80100"	"bisque4"	28.0696882196689
"45"	"KLMA_60097"	"bisque4"	27.9593286204825
"46"	"KLMA_30509"	"bisque4"	27.7936103549887
"47"	"KLMA_10646"	"bisque4"	27.7039122421284
"48"	"KLMA_20063"	"bisque4"	27.5245753452445
"49"	"KLMA_70257"	"bisque4"	27.1831900748838
"50"	"KLMA_40480"	"bisque4"	26.4142023116
"51"	"KLMA_10394"	"bisque4"	26.3522419411404
"52"	"KLMA_50624"	"bisque4"	25.9380503709946
"53"	"KLMA_80246"	"bisque4"	25.8365647989779
"54"	"KLMA_10278"	"bisque4"	25.8323740114577
"55"	"KLMA_40287"	"bisque4"	25.1677166782319
"56"	"KLMA_80196"	"bisque4"	24.8351224464031
"57"	"KLMA_20578"	"bisque4"	24.6514485844863
"58"	"KLMA_30327"	"bisque4"	24.1131502287031
"59"	"KLMA_60042"	"bisque4"	23.9730564313662
"60"	"KLMA_70254"	"bisque4"	23.6342440795481
"61"	"KLMA_20057"	"bisque4"	23.3543574361873
"62"	"KLMA_40391"	"bisque4"	23.2316492565385
"63"	"KLMA_40531"	"bisque4"	23.1819743051511
"64"	"KLMA_10829"	"blue"	2.714032783437
"65"	"KLMA_80121"	"blue"	2.48014012484516
"66"	"KLMA_40557"	"blue"	2.3021297946868
"67"	"KLMA_60222"	"brown"	23.4801837023861
"68"	"KLMA_20774"	"brown"	23.1506365682876
"69"	"KLMA_80213"	"brown"	23.1203161730591
"70"	"KLMA_80260"	"brown"	21.6962428840748
"71"	"KLMA_20468"	"brown"	21.4007954917159
"72"	"KLMA_80050"	"brown"	20.3953762328852
"73"	"KLMA_40335"	"brown"	20.129089305437
"74"	"KLMA_30211"	"brown"	20.1093695634226
"75"	"KLMA_30722"	"brown"	19.6358670902613
"76"	"KLMA_10505"	"brown"	19.6350734852882
"77"	"KLMA_80344"	"brown"	19.2825099663271
"78"	"KLMA_70303"	"brown"	18.8610515401993
"79"	"KLMA_30086"	"brown"	18.8126753470303
"80"	"KLMA_20318"	"coral1"	42.8002087255838
"81"	"KLMA_10376"	"coral1"	42.6869868940401
"82"	"KLMA_60219"	"coral1"	42.2620486569481
"83"	"KLMA_30589"	"coral1"	41.715793042854
"84"	"KLMA_40614"	"coral1"	40.2840863724531
"85"	"KLMA_40445"	"coral1"	39.9526376289369
"86"	"KLMA_30115"	"coral1"	39.7858758004119
"87"	"KLMA_50284"	"coral1"	39.3618656438506
"88"	"KLMA_60037"	"coral1"	38.8744683594896
"89"	"KLMA_50012"	"coral1"	38.8398202319917
"90"	"KLMA_50125"	"coral1"	37.5125784892672
"91"	"KLMA_40261"	"coral1"	37.3406822500696
"92"	"KLMA_20587"	"coral1"	36.9712725456764
"93"	"KLMA_30204"	"coral1"	36.1656692330235
"94"	"KLMA_40168"	"coral1"	36.0180546340138
"95"	"KLMA_60233"	"coral1"	33.7696990996469
"96"	"KLMA_20305"	"coral1"	33.0936124503599
"97"	"KLMA_40081"	"coral1"	33.0211929935821
"98"	"KLMA_70398"	"coral1"	32.4958857546529
"99"	"KLMA_60492"	"coral1"	32.0603835746215
"100"	"KLMA_40305"	"coral1"	31.9465869894552
"101"	"KLMA_20725"	"coral1"	30.970279472682
"102"	"KLMA_20355"	"coral1"	30.7971126591152
"103"	"KLMA_80198"	"coral1"	30.2993174061144
"104"	"KLMA_20514"	"coral1"	30.1336065046003
"105"	"KLMA_40094"	"coral1"	30.0515179134253
"106"	"KLMA_10514"	"coral2"	48.6921179660689
"107"	"KLMA_30011"	"coral2"	47.3413882404795
"108"	"KLMA_10787"	"coral2"	47.3224351054539
"109"	"KLMA_30365"	"coral2"	45.3141702261918
"110"	"KLMA_60011"	"coral2"	44.4485106179622
"111"	"KLMA_70271"	"coral2"	44.0652252144148
"112"	"KLMA_30411"	"coral2"	43.5510035649677
"113"	"KLMA_30129"	"coral2"	43.5251279094699
"114"	"KLMA_20659"	"coral2"	43.0782914224026
"115"	"KLMA_30573"	"coral2"	42.4616118307613
"116"	"KLMA_20413"	"coral2"	42.0607176037938
"117"	"KLMA_50076"	"coral2"	41.4753154801275
"118"	"KLMA_60125"	"coral2"	41.3634768889593
"119"	"KLMA_50156"	"coral2"	41.3187014901352
"120"	"KLMA_50017"	"coral2"	40.9289477373399
"121"	"KLMA_80038"	"coral2"	40.8931270220086
"122"	"KLMA_40107"	"coral2"	40.7423441050566
"123"	"KLMA_30112"	"coral2"	40.3750824983408
"124"	"KLMA_60526"	"cyan"	24.8612146883306
"125"	"KLMA_40202"	"cyan"	21.6969189260781
"126"	"KLMA_30080"	"cyan"	19.9537688587717
"127"	"KLMA_40590"	"cyan"	19.8017730857423
"128"	"KLMA_10359"	"cyan"	19.6037287602515
"129"	"KLMA_20135"	"cyan"	19.3115785896606
"130"	"KLMA_20471"	"cyan"	19.2326246543649
"131"	"KLMA_10155"	"cyan"	19.2133450734313
"132"	"KLMA_20323"	"cyan"	18.3499884335662
"133"	"KLMA_20505"	"cyan"	18.2965254119998
"134"	"KLMA_20365"	"cyan"	18.2229471487587
"135"	"KLMA_50554"	"cyan"	18.181576810751
"136"	"KLMA_70060"	"cyan"	17.8414820076463
"137"	"KLMA_50490"	"cyan"	17.764662562869
"138"	"KLMA_50535"	"cyan"	17.6432252531174
"139"	"KLMA_70289"	"cyan"	17.2104018556878
"140"	"KLMA_20757"	"cyan"	17.1839066668854
"141"	"KLMA_20090"	"cyan"	16.8292735246549
"142"	"KLMA_40617"	"cyan"	16.7785773004086
"143"	"KLMA_30539"	"cyan"	16.7404055459503
"144"	"KLMA_20573"	"darkgrey"	21.6208942755493
"145"	"KLMA_30267"	"darkgrey"	20.066444632234
"146"	"KLMA_20313"	"darkgrey"	19.9274165741839
"147"	"KLMA_20252"	"darkgrey"	19.2696364152383
"148"	"KLMA_20786"	"darkgrey"	19.1208431761396
"149"	"KLMA_80161"	"darkgrey"	18.4949465474288
"150"	"KLMA_40106"	"darkgrey"	17.5902700892568
"151"	"KLMA_60404"	"darkgrey"	17.5645982649242
"152"	"KLMA_60203"	"darkgrey"	17.3991232758414
"153"	"KLMA_80150"	"darkgrey"	17.2820140225084
"154"	"KLMA_30600"	"darkgrey"	17.2568853243383
"155"	"KLMA_20267"	"darkgrey"	17.2484222861536
"156"	"KLMA_60425"	"darkgrey"	17.2381694030482
"157"	"KLMA_10370"	"darkgrey"	16.9726730365844
"158"	"KLMA_60528"	"darkgrey"	16.8659558854674
"159"	"KLMA_20575"	"darkgrey"	16.6704923768004
"160"	"KLMA_20710"	"darkgrey"	16.6355091940272
"161"	"KLMA_60136"	"darkgrey"	16.4697764252467
"162"	"KLMA_20046"	"darkmagenta"	30.1710137381761
"163"	"KLMA_40294"	"darkmagenta"	28.2359043567915
"164"	"KLMA_50402"	"darkmagenta"	27.8711548330408
"165"	"KLMA_30029"	"darkmagenta"	27.2361963816578
"166"	"KLMA_30724"	"darkmagenta"	27.1906186468189
"167"	"KLMA_40442"	"darkmagenta"	26.3169068928321
"168"	"KLMA_80332"	"darkmagenta"	25.6326068321048
"169"	"KLMA_50301"	"darkmagenta"	24.3105333981083
"170"	"KLMA_20044"	"darkmagenta"	24.1006364363071
"171"	"KLMA_80178"	"darkmagenta"	23.6437494982207
"172"	"KLMA_20819"	"darkmagenta"	22.6813505563187
"173"	"KLMA_70093"	"darkmagenta"	22.5150144584264
"174"	"KLMA_70080"	"darkmagenta"	22.3365751258052
"175"	"KLMA_40100"	"darkolivegreen"	155.440903658286
"176"	"KLMA_30191"	"darkolivegreen"	155.036007849797
"177"	"KLMA_80188"	"darkolivegreen"	152.712606602341
"178"	"KLMA_30328"	"darkolivegreen"	150.037800463289
"179"	"KLMA_70183"	"darkolivegreen"	149.014350435745
"180"	"KLMA_80142"	"darkolivegreen"	148.577423406522
"181"	"KLMA_30670"	"darkolivegreen"	147.509205934506
"182"	"KLMA_30326"	"darkolivegreen"	145.904271484089
"183"	"KLMA_70180"	"darkolivegreen"	145.822633674277
"184"	"KLMA_20704"	"darkolivegreen"	145.380899277201
"185"	"KLMA_70399"	"darkolivegreen"	145.341333447633
"186"	"KLMA_40376"	"darkolivegreen"	144.791444642047
"187"	"KLMA_20456"	"darkolivegreen"	144.408719005603
"188"	"KLMA_50215"	"darkolivegreen"	143.998435076481
"189"	"KLMA_80394"	"darkolivegreen"	143.759916595815
"190"	"KLMA_40175"	"darkolivegreen"	143.149951608014
"191"	"KLMA_80338"	"darkolivegreen"	143.094686256115
"192"	"KLMA_20764"	"darkolivegreen"	142.148328597671
"193"	"KLMA_80047"	"darkolivegreen"	141.944967374486
"194"	"KLMA_20186"	"darkolivegreen"	141.785501146134
"195"	"KLMA_50253"	"darkolivegreen"	141.514929649035
"196"	"KLMA_40022"	"darkolivegreen"	141.141769569762
"197"	"KLMA_40099"	"darkolivegreen"	140.376317033908
"198"	"KLMA_60217"	"darkolivegreen"	139.739542750061
"199"	"KLMA_10539"	"darkolivegreen"	139.568233093507
"200"	"KLMA_30675"	"darkolivegreen"	139.517231543095
"201"	"KLMA_50374"	"darkolivegreen"	139.019107500984
"202"	"KLMA_60354"	"darkolivegreen"	138.740264509452
"203"	"KLMA_40096"	"darkolivegreen"	138.400922671547
"204"	"KLMA_60046"	"darkolivegreen"	138.275714602987
"205"	"KLMA_60341"	"darkolivegreen"	138.029404131834
"206"	"KLMA_80236"	"darkolivegreen"	137.854202756135
"207"	"KLMA_70110"	"darkolivegreen"	137.393119039552
"208"	"KLMA_50344"	"darkolivegreen"	137.391872259478
"209"	"KLMA_60364"	"darkolivegreen"	137.0370518067
