regulator;gene_name;direction;evidence;regulator_gene
Bas1p;ATP4;+;Doc;BAS1
Hap4p;ATP4;+;Doc;HAP4
Mig2p;ATP4;+;Doc;MIG2
Pdr3p;ATP4;+;Doc;PDR3
Gcr2p;ATP4;+;Doc;GCR2
Rpn4p;ATP4;+;Doc;RPN4
Pdr1p;ATP4;+;Doc;PDR1
Yap1p;ATP4;+;Doc;YAP1
Met28p;ATP4;+;Doc;MET28
Met32p;ATP4;+;Doc;MET32
Aft2p;ATP4;+;Doc;AFT2
Ash1p;ATP4;+;Doc;ASH1
Ecm22p;ATP4;+;Doc;ECM22
Msn2p;ATP4;+;Doc;MSN2
Mss11p;ATP4;+;Doc;MSS11
Rim101p;ATP4;+;Doc;RIM101
Sut2p;ATP4;+;Doc;SUT2
Swi6p;ATP4;+;Doc;SWI6
Ert1p;ATP4;+;Doc;ERT1
Rph1p;ATP4;+;Doc;RPH1
Pdr3p;GPI2;+;Doc;PDR3
Gcr2p;GPI2;+;Doc;GCR2
Rpn4p;GPI2;+;Doc;RPN4
Pdr1p;GPI2;+;Doc;PDR1
Yap1p;GPI2;+;Doc;YAP1
Met28p;GPI2;+;Doc;MET28
Met32p;GPI2;+;Doc;MET32
Flo8p;GPI2;+;Doc;FLO8
Cbf1p;GPI2;+;Doc;CBF1
Met31p;GPI2;+;Doc;MET31
Cst6p;GPI2;+;Doc;CST6
Tup1p;GPI2;+;Doc;TUP1
Ace2p;GPI2;+;Doc;ACE2
Cup9p;GPI2;+;Doc;CUP9
Gal4p;GPI2;+;Doc;GAL4
Hms1p;GPI2;+;Doc;HMS1
Pip2p;GPI2;+;Doc;PIP2
Put3p;GPI2;+;Doc;PUT3
Rds2p;GPI2;+;Doc;RDS2
Rgt1p;GPI2;+;Doc;RGT1
Spt3p;GPI2;+;Doc;SPT3
Stb5p;GPI2;+;Doc;STB5
Thi2p;GPI2;+;Doc;THI2
Tye7p;GPI2;+;Doc;TYE7
Yap7p;GPI2;+;Doc;YAP7
Pdr3p;GCR1;+;Doc;PDR3
Gcr2p;GCR1;+;Doc;GCR2
Rpn4p;GCR1;+;Doc;RPN4
Pdr1p;GCR1;+;Doc;PDR1
Yap1p;GCR1;+;Doc;YAP1
Met28p;GCR1;+;Doc;MET28
Met32p;GCR1;+;Doc;MET32
Aft2p;GCR1;+;Doc;AFT2
Rim101p;GCR1;+;Doc;RIM101
Rph1p;GCR1;+;Doc;RPH1
Met31p;GCR1;+;Doc;MET31
Tye7p;GCR1;+;Doc;TYE7
Aft1p;GCR1;+;Doc;AFT1
Fkh1p;GCR1;+;Doc;FKH1
Ino2p;GCR1;+;Doc;INO2
Ixr1p;GCR1;+;Doc;IXR1
Mbp1p;GCR1;+;Doc;MBP1
Rfx1p;GCR1;+;Doc;RFX1
Tec1p;GCR1;+;Doc;TEC1
Gcr1p;GCR1;+;Doc;GCR1
Adr1p;GCR1;+;Doc;ADR1
Cad1p;GCR1;+;Doc;CAD1
Crz1p;GCR1;+;Doc;CRZ1
Dal81p;GCR1;+;Doc;DAL81
Haa1p;GCR1;+;Doc;HAA1
Hap2p;GCR1;+;Doc;HAP2
Hog1p;GCR1;+;Doc;HOG1
Leu3p;GCR1;+;Doc;LEU3
Mal13p;GCR1;+;Doc;MAL13
Mal33p;GCR1;+;Doc;MAL33
