"Gene"	"Degree"
"1"	"KLMA_30670"	4768
"2"	"KLMA_10183"	4141
"3"	"KLMA_10460"	3913
"4"	"KLMA_50398"	3686
"5"	"KLMA_60391"	2485
"6"	"KLMA_40457"	1865
"7"	"KLMA_70361"	1623
"8"	"KLMA_20524"	1510
"9"	"KLMA_20215"	1482
"10"	"KLMA_40315"	1287
"11"	"KLMA_60112"	1263
"12"	"KLMA_20247"	1257
"13"	"KLMA_50295"	1050
"14"	"KLMA_60329"	1000
"15"	"KLMA_20440"	998
"16"	"KLMA_30294"	946
"17"	"KLMA_60525"	885
"18"	"KLMA_50604"	879
"19"	"KLMA_60033"	874
"20"	"KLMA_10758"	767
"21"	"KLMA_30699"	763
"22"	"KLMA_40307"	694
"23"	"KLMA_30333"	668
"24"	"KLMA_30566"	622
"25"	"KLMA_10646"	595
"26"	"KLMA_20341"	592
"27"	"KLMA_20565"	573
"28"	"KLMA_80143"	550
"29"	"KLMA_60217"	549
"30"	"KLMA_40209"	539
"31"	"KLMA_80381"	535
"32"	"KLMA_60144"	533
"33"	"KLMA_60097"	518
"34"	"KLMA_30330"	512
"35"	"KLMA_10465"	490
"36"	"KLMA_70133"	473
"37"	"KLMA_20671"	428
"38"	"KLMA_60332"	412
"39"	"KLMA_10510"	391
"40"	"KLMA_70081"	376
"41"	"KLMA_80115"	357
"42"	"KLMA_60152"	338
"43"	"KLMA_10029"	329
"44"	"KLMA_80378"	324
"45"	"KLMA_30616"	314
"46"	"KLMA_60441"	296
"47"	"KLMA_40576"	291
"48"	"KLMA_80236"	287
"49"	"KLMA_30596"	281
"50"	"KLMA_30597"	281
"51"	"KLMA_30598"	281
"52"	"KLMA_60534"	280
"53"	"KLMA_10330"	279
"54"	"KLMA_60266"	279
"55"	"KLMA_20641"	275
"56"	"KLMA_30633"	268
"57"	"KLMA_20117"	266
"58"	"KLMA_10081"	237
"59"	"KLMA_60546"	224
"60"	"KLMA_20572"	221
"61"	"KLMA_30544"	221
"62"	"KLMA_40379"	215
"63"	"KLMA_30237"	213
"64"	"KLMA_20059"	208
"65"	"KLMA_40232"	204
"66"	"KLMA_20253"	203
"67"	"KLMA_60316"	191
"68"	"KLMA_20797"	177
"69"	"KLMA_50125"	163
"70"	"KLMA_30668"	161
"71"	"KLMA_30055"	147
"72"	"KLMA_50490"	146
"73"	"KLMA_30585"	144
"74"	"KLMA_10045"	137
"75"	"KLMA_60535"	136
"76"	"KLMA_20669"	134
"77"	"KLMA_30582"	132
"78"	"KLMA_40117"	126
"79"	"KLMA_50305"	117
"80"	"KLMA_40297"	108
"81"	"KLMA_20241"	107
"82"	"KLMA_80189"	106
"83"	"KLMA_80190"	106
"84"	"KLMA_40175"	104
"85"	"KLMA_10363"	101
"86"	"KLMA_30408"	98
"87"	"KLMA_40515"	98
"88"	"KLMA_30576"	91
"89"	"KLMA_30183"	90
"90"	"KLMA_20125"	86
"91"	"KLMA_30166"	86
"92"	"KLMA_80046"	86
"93"	"KLMA_60155"	81
"94"	"KLMA_20036"	79
"95"	"KLMA_80341"	76
"96"	"KLMA_60237"	74
"97"	"KLMA_20140"	71
"98"	"KLMA_30500"	69
"99"	"KLMA_80227"	65
"100"	"KLMA_10427"	61
"101"	"KLMA_40158"	58
"102"	"KLMA_40447"	47
"103"	"KLMA_70177"	47
"104"	"KLMA_70220"	41
"105"	"KLMA_10784"	29
"106"	"KLMA_40311"	17
"107"	"KLMA_50528"	17
"108"	"KLMA_50619"	10
"109"	"KLMA_80297"	9
"110"	"KLMA_30372"	8
"111"	"KLMA_20280"	5
"112"	"KLMA_60554"	5
"113"	"KLMA_50010"	4
"114"	"KLMA_20807"	3
"115"	"KLMA_60408"	3
"116"	"KLMA_40242"	2
"117"	"KLMA_20310"	1
"118"	"KLMA_60028"	1
"119"	"KLMA_60321"	1
"120"	"KLMA_70366"	1
"121"	"KLMA_80366"	0
"122"	"KLMA_20196"	0
"123"	"KLMA_40580"	0
"124"	"KLMA_10189"	0
"125"	"KLMA_40081"	0
"126"	"KLMA_20598"	0
"127"	"KLMA_10505"	0
"128"	"KLMA_40102"	0
"129"	"KLMA_40220"	0
"130"	"KLMA_80306"	0
"131"	"KLMA_80339"	0
"132"	"KLMA_40321"	0
"133"	"KLMA_20596"	0
"134"	"KLMA_80336"	0
"135"	"KLMA_10426"	0
"136"	"KLMA_20148"	0
"137"	"KLMA_40404"	0
"138"	"KLMA_10742"	0
"139"	"KLMA_40372"	0
"140"	"KLMA_60372"	0
"141"	"KLMA_80216"	0
"142"	"KLMA_10180"	0
"143"	"KLMA_80395"	0
"144"	"KLMA_20597"	0
"145"	"KLMA_10173"	0
"146"	"KLMA_70010 KLMA_80422 KLMA_80425"	0
"147"	"KLMA_20586"	0
"148"	"KLMA_10687"	0
"149"	"KLMA_10121"	0
"150"	"KLMA_10102"	0
"151"	"KLMA_70424"	0
"152"	"KLMA_50457"	0
"153"	"KLMA_20502"	0
"154"	"KLMA_70311"	0
"155"	"KLMA_20831 KLMA_50635"	0
"156"	"KLMA_10007"	0
"157"	"KLMA_20833"	0
"158"	"KLMA_50637"	0
"159"	"KLMA_10005"	0
"160"	"KLMA_30425"	0
"161"	"KLMA_40284"	0
"162"	"KLMA_60298"	0
"163"	"KLMA_40392"	0
"164"	"KLMA_60403"	0
"165"	"KLMA_30654"	0
"166"	"KLMA_30295"	0
"167"	"KLMA_30318"	0
"168"	"KLMA_20224"	0
"169"	"KLMA_10161"	0
"170"	"KLMA_30300"	0
"171"	"KLMA_20262"	0
"172"	"KLMA_30334"	0
"173"	"KLMA_20417"	0
"174"	"KLMA_80240"	0
"175"	"KLMA_50182"	0
"176"	"KLMA_60263"	0
"177"	"KLMA_80226"	0
"178"	"KLMA_70079"	0
"179"	"KLMA_70305"	0
"180"	"KLMA_50215"	0
"181"	"KLMA_80238"	0
"182"	"KLMA_20354"	0
"183"	"KLMA_10192"	0
"184"	"KLMA_50428"	0
"185"	"KLMA_20139"	0
"186"	"KLMA_70185"	0
"187"	"KLMA_60099"	0
"188"	"KLMA_20779"	0
"189"	"KLMA_60074"	0
"190"	"KLMA_10299"	0
"191"	"KLMA_60242"	0
"192"	"KLMA_10585"	0
"193"	"KLMA_30695"	0
"194"	"KLMA_10252"	0
"195"	"KLMA_10214"	0
"196"	"KLMA_50014"	0
"197"	"KLMA_40159"	0
"198"	"KLMA_10151"	0
"199"	"KLMA_70099"	0
"200"	"KLMA_40252"	0
"201"	"KLMA_70016"	0
"202"	"KLMA_60297"	0
"203"	"KLMA_60445"	0
"204"	"KLMA_80245"	0
"205"	"KLMA_80399"	0
"206"	"KLMA_50439"	0
"207"	"KLMA_10836"	0
"208"	"KLMA_70462"	0
"209"	"KLMA_70007"	0
"210"	"KLMA_70186"	0
"211"	"KLMA_80427"	0
"212"	"KLMA_60187"	0
"213"	"KLMA_40002"	0
"214"	"KLMA_50236"	0
"215"	"KLMA_10521"	0
"216"	"KLMA_40214"	0
"217"	"KLMA_20784"	0
"218"	"KLMA_70083"	0
"219"	"KLMA_30234"	0
"220"	"KLMA_20041"	0
"221"	"KLMA_30556"	0
"222"	"KLMA_50196"	0
"223"	"KLMA_40399"	0
"224"	"KLMA_10774"	0
"225"	"KLMA_30483"	0
"226"	"KLMA_20161"	0
"227"	"KLMA_30542"	0
"228"	"KLMA_20768"	0
"229"	"KLMA_20256"	0
"230"	"KLMA_60425"	0
"231"	"KLMA_40571"	0
"232"	"KLMA_20500"	0
"233"	"KLMA_70351"	0
"234"	"KLMA_40115"	0
"235"	"KLMA_30526"	0
"236"	"KLMA_80118"	0
"237"	"KLMA_60128"	0
"238"	"KLMA_50038"	0
"239"	"KLMA_80165"	0
"240"	"KLMA_30031"	0
"241"	"KLMA_20297"	0
"242"	"KLMA_10249"	0
"243"	"KLMA_10294"	0
"244"	"KLMA_80087"	0
"245"	"KLMA_40099"	0
"246"	"KLMA_20771"	0
"247"	"KLMA_60101"	0
"248"	"KLMA_50344"	0
"249"	"KLMA_20169"	0
"250"	"KLMA_60118"	0
"251"	"KLMA_70429"	0
"252"	"KLMA_50183"	0
"253"	"KLMA_20298"	0
"254"	"KLMA_40306"	0
"255"	"KLMA_20436"	0
"256"	"KLMA_10092"	0
"257"	"KLMA_70110"	0
"258"	"KLMA_70285"	0
"259"	"KLMA_80020"	0
"260"	"KLMA_80117"	0
"261"	"KLMA_60420"	0
"262"	"KLMA_70392"	0
"263"	"KLMA_20293"	0
"264"	"KLMA_10734"	0
"265"	"KLMA_20480"	0
"266"	"KLMA_40368"	0
"267"	"KLMA_60493"	0
"268"	"KLMA_10771"	0
"269"	"KLMA_40016"	0
"270"	"KLMA_50119"	0
"271"	"KLMA_80179"	0
"272"	"KLMA_40391"	0
"273"	"KLMA_10400"	0
"274"	"KLMA_50044"	0
"275"	"KLMA_60225"	0
"276"	"KLMA_10677"	0
"277"	"KLMA_10090"	0
"278"	"KLMA_80348"	0
"279"	"KLMA_60356"	0
"280"	"KLMA_50607"	0
"281"	"KLMA_30057"	0
"282"	"KLMA_10563"	0
"283"	"KLMA_30322"	0
"284"	"KLMA_80063"	0
"285"	"KLMA_80064"	0
"286"	"KLMA_80062"	0
"287"	"KLMA_70059"	0
"288"	"KLMA_70103"	0
"289"	"KLMA_50375"	0
"290"	"KLMA_10650"	0
"291"	"KLMA_30062"	0
"292"	"KLMA_50175"	0
"293"	"KLMA_70239"	0
"294"	"KLMA_30698"	0
"295"	"KLMA_20246"	0
"296"	"KLMA_30684"	0
"297"	"KLMA_40046"	0
"298"	"KLMA_10199"	0
"299"	"KLMA_60232"	0
"300"	"KLMA_60396"	0
"301"	"KLMA_20192"	0
"302"	"KLMA_20630"	0
"303"	"KLMA_30382"	0
"304"	"KLMA_80164"	0
