Regulator	Target
KLMA_10029	KLMA_80366
KLMA_10029	KLMA_20196
KLMA_10029	KLMA_40580
KLMA_10029	KLMA_10189
KLMA_10029	KLMA_40081
KLMA_10029	KLMA_20598
KLMA_10029	KLMA_10505
KLMA_10029	KLMA_40102
KLMA_10029	KLMA_40220
KLMA_10029	KLMA_80306
KLMA_10029	KLMA_80339
KLMA_10029	KLMA_40321
KLMA_10029	KLMA_20596
KLMA_10029	KLMA_80336
KLMA_10029	KLMA_10426
KLMA_10029	KLMA_20148
KLMA_10029	KLMA_40404
KLMA_10029	KLMA_10742
KLMA_10029	KLMA_40372
KLMA_10029	KLMA_60372
KLMA_10029	KLMA_80216
KLMA_10029	KLMA_10180
KLMA_10029	KLMA_80395
KLMA_10029	KLMA_20597
KLMA_10029	KLMA_30668
KLMA_10029	KLMA_10173
KLMA_10029	KLMA_70010 KLMA_80422 KLMA_80425
KLMA_10029	KLMA_20586
KLMA_10029	KLMA_10687
KLMA_10029	KLMA_10121
KLMA_10029	KLMA_10102
KLMA_10029	KLMA_70424
KLMA_10029	KLMA_50457
KLMA_10029	KLMA_20502
KLMA_10029	KLMA_70311
KLMA_10029	KLMA_20831 KLMA_50635
KLMA_10029	KLMA_10007
KLMA_10029	KLMA_20833
KLMA_10029	KLMA_50637
KLMA_10029	KLMA_10005
KLMA_10029	KLMA_30425
KLMA_10029	KLMA_40284
KLMA_10029	KLMA_60298
KLMA_10029	KLMA_40392
KLMA_10029	KLMA_60403
KLMA_10029	KLMA_30654
KLMA_10029	KLMA_30295
KLMA_10029	KLMA_30318
KLMA_10029	KLMA_20224
KLMA_10029	KLMA_10161
KLMA_10029	KLMA_30300
KLMA_10029	KLMA_20262
KLMA_10029	KLMA_30334
KLMA_10029	KLMA_20417
KLMA_10029	KLMA_80240
KLMA_10029	KLMA_50182
KLMA_10029	KLMA_60263
KLMA_10029	KLMA_80226
KLMA_10029	KLMA_70079
KLMA_10029	KLMA_70305
KLMA_10029	KLMA_30330
KLMA_10029	KLMA_50215
KLMA_10029	KLMA_80238
KLMA_10029	KLMA_20354
KLMA_10029	KLMA_10192
KLMA_10029	KLMA_50428
KLMA_10029	KLMA_20139
KLMA_10029	KLMA_70185
KLMA_10029	KLMA_60099
KLMA_10029	KLMA_20779
KLMA_10029	KLMA_60074
KLMA_10029	KLMA_10299
KLMA_10029	KLMA_60242
KLMA_10029	KLMA_10585
KLMA_10029	KLMA_30695
KLMA_10029	KLMA_10252
KLMA_10029	KLMA_10214
KLMA_10029	KLMA_50014
KLMA_10029	KLMA_40159
KLMA_10029	KLMA_10151
KLMA_10029	KLMA_70099
KLMA_10029	KLMA_40252
KLMA_10029	KLMA_70016
KLMA_10029	KLMA_60297
KLMA_10029	KLMA_60445
KLMA_10029	KLMA_80245
KLMA_10029	KLMA_80399
KLMA_10029	KLMA_50439
KLMA_10029	KLMA_60321
KLMA_10029	KLMA_10836
KLMA_10029	KLMA_70462
KLMA_10029	KLMA_70007
KLMA_10029	KLMA_70186
KLMA_10029	KLMA_80427
KLMA_10029	KLMA_60187
KLMA_10029	KLMA_40002
KLMA_10029	KLMA_50236
KLMA_10029	KLMA_80378
KLMA_10029	KLMA_10521
KLMA_10029	KLMA_40214
KLMA_10029	KLMA_20784
KLMA_10029	KLMA_70083
KLMA_10029	KLMA_30234
KLMA_10029	KLMA_20041
KLMA_10029	KLMA_30556
KLMA_10029	KLMA_50196
KLMA_10029	KLMA_40399
KLMA_10029	KLMA_10774
KLMA_10029	KLMA_30483
KLMA_10029	KLMA_20161
KLMA_10029	KLMA_30542
KLMA_10029	KLMA_20768
KLMA_10029	KLMA_20256
KLMA_10029	KLMA_60425
KLMA_10029	KLMA_40571
KLMA_10029	KLMA_40297
KLMA_10029	KLMA_20500
KLMA_10029	KLMA_70351
KLMA_10029	KLMA_40115
KLMA_10029	KLMA_30526
KLMA_10029	KLMA_80118
KLMA_10029	KLMA_60128
KLMA_10029	KLMA_50038
KLMA_10029	KLMA_80165
KLMA_10029	KLMA_30031
KLMA_10029	KLMA_20297
KLMA_10029	KLMA_10249
KLMA_10029	KLMA_10294
KLMA_10029	KLMA_80087
KLMA_10029	KLMA_40099
KLMA_10029	KLMA_20771
KLMA_10029	KLMA_60101
KLMA_10029	KLMA_50344
KLMA_10029	KLMA_20169
KLMA_10029	KLMA_60118
KLMA_10029	KLMA_70429
KLMA_10029	KLMA_50183
KLMA_10029	KLMA_20298
KLMA_10029	KLMA_40306
KLMA_10029	KLMA_20436
KLMA_10029	KLMA_10092
KLMA_10029	KLMA_70110
KLMA_10029	KLMA_70285
KLMA_10029	KLMA_80020
KLMA_10029	KLMA_80117
KLMA_10029	KLMA_60420
KLMA_10029	KLMA_70392
KLMA_10029	KLMA_20293
KLMA_10029	KLMA_10734
KLMA_10029	KLMA_20480
KLMA_10029	KLMA_40368
KLMA_10029	KLMA_60493
KLMA_10029	KLMA_10771
KLMA_10029	KLMA_40016
KLMA_10029	KLMA_50119
KLMA_10029	KLMA_80179
KLMA_10029	KLMA_40391
KLMA_10029	KLMA_10400
KLMA_10029	KLMA_50044
KLMA_10029	KLMA_60225
KLMA_10029	KLMA_10677
KLMA_10029	KLMA_10090
KLMA_10029	KLMA_80348
KLMA_10029	KLMA_60356
KLMA_10029	KLMA_60356
KLMA_10029	KLMA_10330
KLMA_10029	KLMA_50607
KLMA_10029	KLMA_30057
KLMA_10029	KLMA_10563
KLMA_10029	KLMA_30322
KLMA_10029	KLMA_80063
KLMA_10029	KLMA_80064
KLMA_10029	KLMA_80062
KLMA_10029	KLMA_70059
KLMA_10029	KLMA_70103
KLMA_10029	KLMA_50375
KLMA_10029	KLMA_10650
KLMA_10029	KLMA_30062
KLMA_10029	KLMA_50175
KLMA_10029	KLMA_70239
KLMA_10029	KLMA_30698
KLMA_10029	KLMA_20246
KLMA_10029	KLMA_30684
KLMA_10029	KLMA_40046
KLMA_10029	KLMA_10199
KLMA_10029	KLMA_60232
KLMA_10029	KLMA_60396
KLMA_10029	KLMA_20192
KLMA_10029	KLMA_20630
KLMA_10029	KLMA_30382
KLMA_10029	KLMA_80164
KLMA_10029	KLMA_20061
KLMA_10029	KLMA_20387
KLMA_10029	KLMA_30093
KLMA_10029	KLMA_20004
KLMA_10029	KLMA_40592
KLMA_10029	KLMA_20433
KLMA_10029	KLMA_20211
KLMA_10029	KLMA_70385
KLMA_10029	KLMA_70398
KLMA_10029	KLMA_60486
KLMA_10029	KLMA_50621
KLMA_10029	KLMA_10430
KLMA_10029	KLMA_20624
KLMA_10029	KLMA_20671
KLMA_10029	KLMA_60050
KLMA_10029	KLMA_70258
KLMA_10029	KLMA_60387
KLMA_10029	KLMA_80011
KLMA_10029	KLMA_50253
KLMA_10029	KLMA_50254
KLMA_10029	KLMA_30102
KLMA_10029	KLMA_70334
KLMA_10029	KLMA_20457
KLMA_10029	KLMA_80163
KLMA_10029	KLMA_70195
KLMA_10029	KLMA_10086
KLMA_10029	KLMA_70023
KLMA_10029	KLMA_50106
KLMA_10029	KLMA_10067
KLMA_10029	KLMA_10612
KLMA_10029	KLMA_30223
KLMA_10029	KLMA_70381
KLMA_10029	KLMA_70383
KLMA_10029	KLMA_70382
KLMA_10029	KLMA_40532
KLMA_10029	KLMA_20204
KLMA_10029	KLMA_80175
KLMA_10029	KLMA_80356
KLMA_10029	KLMA_50337
KLMA_10029	KLMA_10262
KLMA_10029	KLMA_20179
KLMA_10029	KLMA_20629
KLMA_10029	KLMA_40054
KLMA_10029	KLMA_80221
KLMA_10029	KLMA_30633
KLMA_10029	KLMA_20809
KLMA_10029	KLMA_10271
KLMA_10029	KLMA_40393
KLMA_10029	KLMA_20558
KLMA_10029	KLMA_30264
KLMA_10029	KLMA_60504
KLMA_10029	KLMA_10631
KLMA_10029	KLMA_80403
KLMA_10029	KLMA_50200
KLMA_10029	KLMA_10702
KLMA_10029	KLMA_50288
KLMA_10029	KLMA_20492
KLMA_10029	KLMA_30720
KLMA_10029	KLMA_60204
KLMA_10029	KLMA_30246
KLMA_10029	KLMA_20063
KLMA_10029	KLMA_70439
KLMA_10029	KLMA_40276
KLMA_10029	KLMA_80069
KLMA_10029	KLMA_80069
KLMA_10029	KLMA_50232
KLMA_10029	KLMA_40073
KLMA_10029	KLMA_80340
KLMA_10029	KLMA_20637
KLMA_10029	KLMA_10811
KLMA_10029	KLMA_10456
KLMA_10029	KLMA_50332
KLMA_10029	KLMA_10383
KLMA_10029	KLMA_30450
KLMA_10029	KLMA_70352
KLMA_10029	KLMA_60543
KLMA_10029	KLMA_20218
KLMA_10029	KLMA_40463
KLMA_10029	KLMA_20146
KLMA_10029	KLMA_50027
KLMA_10029	KLMA_20323
KLMA_10029	KLMA_10618
KLMA_10029	KLMA_30121
KLMA_10029	KLMA_10093
KLMA_10029	KLMA_20814
KLMA_10029	KLMA_60524
KLMA_10029	KLMA_30101
KLMA_10029	KLMA_50416
KLMA_10029	KLMA_30232
KLMA_10029	KLMA_40566
KLMA_10029	KLMA_70390
KLMA_10029	KLMA_60166
KLMA_10029	KLMA_50087
KLMA_10029	KLMA_30096
KLMA_10029	KLMA_10788
KLMA_10029	KLMA_20801
KLMA_10029	KLMA_30652
KLMA_10029	KLMA_60295
KLMA_10029	KLMA_60429
KLMA_10029	KLMA_10382
KLMA_10029	KLMA_10382
KLMA_10029	KLMA_30034
KLMA_10029	KLMA_10140
KLMA_10029	KLMA_30430
KLMA_10029	KLMA_80381
KLMA_10029	KLMA_20360
KLMA_10029	KLMA_60345
KLMA_10029	KLMA_60428
KLMA_10029	KLMA_70361
KLMA_10029	KLMA_30537
KLMA_10029	KLMA_20086
KLMA_10029	KLMA_20075
KLMA_10029	KLMA_30453
KLMA_10029	KLMA_40150
KLMA_10029	KLMA_60130
KLMA_10029	KLMA_50073
KLMA_10029	KLMA_70260
KLMA_10029	KLMA_70260
KLMA_10029	KLMA_70056
KLMA_10029	KLMA_20442
KLMA_10029	KLMA_20556
KLMA_10029	KLMA_60317
KLMA_10029	KLMA_10832
KLMA_10029	KLMA_10633
KLMA_10029	KLMA_60153
KLMA_10029	KLMA_70075
KLMA_10029	KLMA_60018
KLMA_10029	KLMA_10705
KLMA_10029	KLMA_60208
KLMA_10029	KLMA_60487
KLMA_10029	KLMA_40534
KLMA_10029	KLMA_20666
KLMA_10029	KLMA_20787
KLMA_10029	KLMA_80143
KLMA_10029	KLMA_30335
