gene_name	0pc_KM-1	0pc_KM-2	0pc_KM-3	0pc_100d-1	0pc_100d-2	0pc_100d-3	4pc_KM-1	4pc_KM-2	4pc_KM-3	4pc_100d-1	4pc_100d-2	4pc_100d-3	6pc_KM-1	6pc_KM-2	6pc_KM-3	6pc_100d-1	6pc_100d-2	6pc_100d-3
AAC	2266.4436	2567.845	1962.6498	3496.9649	3002.7959	3296.5228	13961.475	13056.632	12598.013	10044.124	10749.361	10910.506	6774.4859	7158.8206	7881.0447	12735.964	12677.638	12711.892
AAH1	37.669422	35.190137	41.941558	26.445925	25.751389	56.408018	199.7334	178.54777	198.21862	141.54205	115.75273	140.99392	182.2774	439.3101	450.03529	116.02258	118.28519	183.47272
AAR2	35.576677	24.840096	27.961039	33.565981	42.305853	36.330588	16.552492	17.419295	16.959882	46.108396	37.541424	51.771206	43.444354	37.760407	37.572519	32.320576	16.897884	33.82458
AAT1	33.483931	42.435165	31.187312	63.063359	86.451091	87.002197	33.104984	43.548237	118.71918	170.49384	128.26653	150.90756	80.27761	168.54035	175.33842	212.98431	176.01963	183.47272
AAT2	559.80947	837.31825	530.18431	892.04138	915.094	917.82537	614.6492	705.48144	888.27383	1130.1918	1102.2579	1127.9514	664.8875	780.07476	849.13894	699.45041	680.13984	746.19073
ABD1	244.85125	272.20606	183.8976	605.20481	592.28194	594.67436	104.83245	146.32208	273.4781	332.40937	321.18774	305.11966	498.66563	704.55394	665.45106	399.44917	401.32475	470.46916
ABF1	342.16392	363.28641	331.23077	465.85513	431.33576	510.54036	1031.772	731.61039	634.93559	769.90298	780.02737	665.31508	353.22149	348.13254	396.59881	541.99119	494.26311	467.3942
ABF2	5194.1948	4729.9684	5509.4001	3203.0083	3193.1722	3133.9912	2566.7397	2499.6688	2376.5035	2337.5884	2336.9537	2285.6437	4029.936	3049.3831	2973.2387	2825.1498	2976.8439	2693.6666
ABP1	2721.6158	2230.4337	2707.9191	2513.38	2369.1278	2947.5579	350.91283	359.70844	401.73721	493.25261	381.67115	426.28631	1903.0516	1804.2107	2155.8277	1712.9905	1791.1757	1777.3279
ABP140	34.530304	26.910105	32.262737	258.35634	290.62282	191.21362	167.73192	205.54768	255.45823	305.60216	257.57588	253.34846	139.77749	129.85896	122.7369	223.75783	197.14198	195.77257
ABZ1	84.7562	67.275261	87.10939	50.857547	73.575397	86.046129	22.069989	27.870872	45.579683	31.09636	19.81353	22.030301	72.72207	104.07137	107.70789	87.016935	77.448636	122.99847
ABZ2	533.65015	613.75738	553.84365	323.454	380.75268	440.74739	1114.5344	971.99666	1140.5521	1312.4809	1411.9747	1256.8286	594.99876	617.9813	564.42273	795.5834	746.32322	674.44162
ACAD11	34.530304	46.575181	26.885614	18.308717	19.313542	25.813839	113.66044	68.806215	122.95915	119.024	107.41019	120.06514	85.944265	89.335598	65.1257	744.20197	809.69028	555.5431
ACB1	5216.1686	5701.8371	5012.5539	2063.7993	1685.7963	2061.2828	2561.2222	2528.4107	2784.6007	2559.5521	2423.5075	2331.9073	2773.8275	2667.1741	2918.9673	4515.7645	4282.2055	3957.4759
ACC1	14951.622	17021.676	12668.501	18502.993	14065.776	17954.003	12106.493	13651.501	11499.86	29691.662	29222.87	27726.235	6147.3761	4848.0679	4718.2735	29140.728	31407.534	28859.542
ACF2	313.91185	318.78124	318.32567	925.60736	524.2247	466.56123	92.693954	96.677087	107.05926	190.86731	123.05245	147.60301	696.0541	679.68733	677.97524	513.81428	575.93622	515.5686
ACH1	4008.6544	2751.0407	3082.1668	12403.139	6512.3423	5005.9726	4265.0254	3869.6964	3506.4557	5150.2006	5049.3216	4975.5434	7645.2618	6401.7705	6441.5997	5811.0738	5971.9939	6186.8232
ACK1	63.828744	64.170249	30.111888	149.52119	307.17728	274.39154	148.97243	190.74128	275.59809	239.12029	239.84799	214.79543	89.722035	149.19966	184.52282	158.28795	140.8157	167.07293
ACN9	431.10561	406.75658	466.73426	828.97802	827.72321	630.04888	378.50031	450.28877	559.67611	570.45736	614.21942	543.04691	531.72111	515.7519	446.69551	523.75907	482.99785	552.46814
ACO2a	65.921489	110.74543	39.790709	96.62934	150.82956	196.95003	444.71028	422.4179	390.07729	255.20461	186.6643	233.52119	216.27733	195.24894	240.46412	293.37138	305.57007	314.67109
ACO2b	22436.327	18649.737	19589.934	11284.273	20968.988	21844.244	41930.772	41673.921	38334.634	32539.66	32612.027	34070.961	9804.2573	8839.6193	10563.723	24827.175	24234.382	24775.992
ACP1	608.989	554.76215	558.14535	1490.1261	1213.994	1035.4217	1195.0899	1435.3499	1644.0486	728.08374	707.03016	594.81811	1157.8865	925.59047	1077.9138	1555.5313	1575.7277	1504.6813
ACS1	314.95823	277.38108	306.496	4114.3756	412.02222	341.31631	38.622481	48.774026	52.999632	225.18054	100.11047	160.82119	244.6106	308.53016	347.33707	270.9956	226.71328	247.02193
ACS2	2630.5813	2452.9595	2878.9116	2102.451	3034.0654	4281.2729	2127.5469	2248.831	1818.9474	5039.7549	4025.275	4517.3131	2500.8837	2586.1274	2589.999	5709.1396	5956.5042	6261.6472
ACT	8647.2252	7512.0592	9360.4954	6186.312	6935.4008	9077.8666	1265.7139	1342.1567	1328.1708	2087.7453	1736.2909	1876.9816	13024.806	11942.42	12516.659	8254.1778	9037.5517	9238.2103
ADA2	337.97843	302.22117	379.62487	413.98043	572.04871	457.95662	207.4579	236.03145	324.35775	307.74674	250.27616	276.48027	482.6101	372.99915	369.88058	512.15681	554.81386	588.34269
ADD66	217.64555	256.681	232.29171	365.15719	354.0816	472.29764	78.348461	132.38664	274.53809	231.61427	208.56347	196.06967	415.55469	466.93967	516.83088	313.26096	322.46796	293.14636
ADE1	278.33518	247.36596	348.43756	340.74557	478.24008	618.57606	456.84877	431.12755	466.39676	475.02371	370.20016	407.56056	257.8328	226.56244	274.69686	285.08405	243.61116	278.79654
ADE13	1662.6865	964.62375	1618.514	2721.8959	2928.3008	3373.9643	626.78769	569.61094	743.05484	730.22832	589.1918	641.08174	904.77589	829.80798	945.99254	1282.0495	1319.4431	1298.6589
ADE17	1613.5069	1645.6564	1735.7353	845.25244	1434.7202	1871.0253	918.11155	904.06141	856.47405	879.27639	677.83127	729.20295	2394.1617	1924.8598	2208.4292	2871.5588	3012.0478	2984.7629
ADE2	405.99266	363.28641	463.50799	152.57264	317.2939	463.69303	229.52789	203.80575	236.37836	238.048	189.79276	235.72422	495.8323	383.12999	441.68584	610.77601	646.34407	648.81694
ADE3	709.44079	495.76693	743.11838	730.31438	1202.038	1495.2905	120.28144	146.32208	137.79904	220.89139	142.86598	132.1818	609.1654	496.41121	527.68516	644.75405	651.9767	726.71598
ADE4	79.524336	61.065237	52.695804	476.02664	569.28963	553.56343	423.74379	492.09508	921.1336	1027.2522	935.40716	886.7196	217.22177	381.28802	384.90959	476.52131	435.12052	503.26875
ADE5pc2C7	1415.7425	1108.4893	1338.9036	3089.0874	4444.8737	5065.2488	3105.2475	3191.2148	2920.2797	4695.5504	4521.656	4587.8101	1520.5524	1435.8165	1350.9408	4029.2984	3803.4321	3949.276
ADE6	425.87375	283.5911	395.75624	785.24053	942.68477	1176.9198	908.18005	891.8679	920.07361	588.68627	453.62555	465.94086	963.33132	817.83516	758.96489	1197.5188	1408.157	1265.8593
ADE8	130.79661	128.3405	117.22128	303.11098	239.12004	288.73257	30.897985	57.483673	84.799411	102.93967	81.339753	99.136352	155.83301	136.30586	171.1637	224.58656	222.48881	195.77257
ADH1	135057.44	107454.12	139560	72431.319	78087.408	74347.679	53278.057	55470.003	52603.195	41441.797	45350.041	44142.113	83213.882	91081.786	85666.179	65081.208	62384.172	60744.846
ADH2	15347.151	10333.48	14536.514	5526.1811	9155.5384	11612.403	3988.047	3922.8252	4068.2517	2605.6605	2266.0421	2657.9558	37623.755	49606.123	41867.476	14056.964	13956.244	15180.061
