gene_id	gene_name
KLMA_10001	TY2B-GR2
KLMA_10004	Nqo2
KLMA_10005	BIO5
KLMA_10006	BIO4
KLMA_10007	BIO3
KLMA_10008	ARN2
KLMA_10010	ARN2
KLMA_10011	FEN2
KLMA_10014	MATALPHA1
KLMA_10015	HMLALPHA2
KLMA_10016	HMLALPHA3
KLMA_10018	CHA1
KLMA_10020	VAC17
KLMA_10021	MRC1
KLMA_10022	KRR1
KLMA_10024	MOS1
KLMA_10025	PRD1
KLMA_10029	KAR4
KLMA_10031	SPB1
KLMA_10032	PBN1
KLMA_10033	LRE1
KLMA_10034	QCR7
KLMA_10035	APA2
KLMA_10036	CAB1
KLMA_10037	KRE28
KLMA_10038	RBA50
KLMA_10043	SPS1
KLMA_10044	SPS22
KLMA_10045	URC2
KLMA_10046	FPR2
KLMA_10047	EMC1
KLMA_10048	MGR1
KLMA_10049	PDI1
KLMA_10050	GRH1
KLMA_10051	GLK1
KLMA_10052	GID7
KLMA_10053	ATG22
KLMA_10054	SRO9
KLMA_10058	GRX2
KLMA_10059	LSB5
KLMA_10060	MXR2
KLMA_10062	STE50
KLMA_10063	RRP7
KLMA_10064	ACN9
KLMA_10065	HIS4
KLMA_10066	BIK1
KLMA_10067	PRY2
KLMA_10069	HBN1
KLMA_10070	HBN1
KLMA_10071	GNP1
KLMA_10072	SMT3
KLMA_10073	GIN4
KLMA_10075	GMC1
KLMA_10077	TFS1
KLMA_10078	LPP1
KLMA_10079	SAM2
KLMA_10080	VTA1
KLMA_10081	SWI6
KLMA_10082	PLM2
KLMA_10083	RpL37a
KLMA_10084	LCD1
KLMA_10085	EMG1
KLMA_10086	PRM1
KLMA_10088	SKG3
KLMA_10089	MDL1
KLMA_10090	MET2
KLMA_10091	ATG26
KLMA_10092	ISC1
KLMA_10093	SPC25
KLMA_10094	PER1
KLMA_10095	BOR1
KLMA_10097	GOR1
KLMA_10098	TAF2
KLMA_10099	SLP1
KLMA_10100	CCN1
KLMA_10101	TOF1
KLMA_10102	AVT2
KLMA_10103	SEC2
KLMA_10104	BNI1
KLMA_10106	CAN1
KLMA_10107	LYP1
KLMA_10108	PIK1
KLMA_10109	TAM41
KLMA_10110	IST1
KLMA_10111	TFC4
KLMA_10112	UFD1
KLMA_10114	PDR17
KLMA_10115	CWC23
KLMA_10116	YIF1
KLMA_10117	POL2
KLMA_10118	ORC5
KLMA_10121	ATX1
KLMA_10122	DSL1
KLMA_10123	SIP3
KLMA_10124	TGL2
KLMA_10125	COQ6
KLMA_10126	FOL1
KLMA_10127	GIS2
KLMA_10128	RTC4
KLMA_10129	TEX1
KLMA_10130	MRPL17
KLMA_10131	NRD1
KLMA_10132	RAD50
KLMA_10133	MPA43
KLMA_10134	RPA49
KLMA_10138	VPS75
KLMA_10139	CWC25
KLMA_10140	SUI1
KLMA_10141	SLA2
KLMA_10142 KLMA_30022	MATA1
KLMA_10143 KLMA_30021	MATA2
KLMA_10144	LAA1
KLMA_10149	RCY1
KLMA_10151	ECM25
KLMA_10152	BUD5
KLMA_10153	ACO2a
KLMA_10155	PHO87
KLMA_10156	UBP12
KLMA_10157	RBK1
KLMA_10158	RRP43
KLMA_10159	FEN1
KLMA_10160	SNT1
KLMA_10161	CDC6
KLMA_10162	VPS60
KLMA_10163	COQ3
KLMA_10164	VPS72
KLMA_10165	HMI1
KLMA_10166	VPS52
KLMA_10167	RFC4
KLMA_10168	TRM10
KLMA_10172	MPS1
KLMA_10173	ARP2
KLMA_10175	APM4
KLMA_10176	PRS5
KLMA_10177	RTK1
KLMA_10178	MAM3
KLMA_10179	GPD1
KLMA_10180	ARG1
KLMA_10182	GPM3
KLMA_10183	RPN4
KLMA_10184	och1
KLMA_10185	OSH2
KLMA_10186	YAT1
KLMA_10187	CDC15
KLMA_10188	KIN3
KLMA_10189	ADE1
KLMA_10190	BUD14
KLMA_10191	KAP104
KLMA_10192	DAL1
