"Gene"	"Degree"
"1"	"KLMA_50490"	9
"2"	"KLMA_60152"	8
"3"	"KLMA_60033"	7
"4"	"KLMA_50398"	6
"5"	"KLMA_60028"	6
"6"	"KLMA_30183"	6
"7"	"KLMA_40242"	5
"8"	"KLMA_20807"	5
"9"	"KLMA_40315"	5
"10"	"KLMA_10363"	5
"11"	"KLMA_60332"	5
"12"	"KLMA_20253"	5
"13"	"KLMA_20125"	5
"14"	"KLMA_10510"	5
"15"	"KLMA_30330"	4
"16"	"KLMA_40232"	4
"17"	"KLMA_30633"	4
"18"	"KLMA_60321"	4
"19"	"KLMA_60112"	4
"20"	"KLMA_20440"	4
"21"	"KLMA_20341"	3
"22"	"KLMA_20059"	3
"23"	"KLMA_20280"	3
"24"	"KLMA_50305"	3
"25"	"KLMA_30372"	3
"26"	"KLMA_20669"	3
"27"	"KLMA_30333"	3
"28"	"KLMA_70081"	3
"29"	"KLMA_40311"	3
"30"	"KLMA_80046"	3
"31"	"KLMA_60237"	3
"32"	"KLMA_20036"	3
"33"	"KLMA_50295"	3
