Regulator	Target
KLMA_50125	KLMA_70170
KLMA_30668	KLMA_20643
KLMA_40117	KLMA_80409
KLMA_70366	KLMA_80098
KLMA_30670	KLMA_20621
KLMA_30699	KLMA_20473
KLMA_10427	KLMA_20049
KLMA_80115	KLMA_40374
KLMA_20797	KLMA_40233
KLMA_70361	KLMA_20777
KLMA_40297	KLMA_70313
KLMA_20565	KLMA_40066
KLMA_40315	KLMA_30450
KLMA_30699	KLMA_50588
KLMA_60441	KLMA_60136
KLMA_40457	KLMA_80206
KLMA_50295	KLMA_10677
KLMA_60155	KLMA_30363
KLMA_40515	KLMA_60050
KLMA_50295	KLMA_60122
KLMA_60316	KLMA_60075
KLMA_80236	KLMA_20727
KLMA_80236	KLMA_20098
KLMA_40315	KLMA_40495
KLMA_10427	KLMA_50007
KLMA_40209	KLMA_40205
KLMA_20215	KLMA_30612
KLMA_30668	KLMA_40547
KLMA_60237	KLMA_10106
KLMA_20117	KLMA_60284
KLMA_20215	KLMA_60429
KLMA_30616	KLMA_40151
KLMA_30668	KLMA_70231
KLMA_20669	KLMA_30074
KLMA_40209	KLMA_80104
KLMA_20125	KLMA_30655
KLMA_40242	KLMA_10620
KLMA_20524	KLMA_20229
KLMA_30166	KLMA_80330
KLMA_60546	KLMA_10303
KLMA_50398	KLMA_30105
KLMA_80143	KLMA_40194
KLMA_20440	KLMA_40202
KLMA_30500	KLMA_10612
KLMA_60097	KLMA_40602
KLMA_80381	KLMA_20515
KLMA_20059	KLMA_70103
KLMA_40209	KLMA_50409
KLMA_70081	KLMA_40027
KLMA_40297	KLMA_10581
KLMA_10465	KLMA_20118
KLMA_40209	KLMA_30572
KLMA_40457	KLMA_60470
KLMA_80341	KLMA_20004
KLMA_30597	KLMA_30423
KLMA_30500	KLMA_50261
KLMA_40297	KLMA_30115
KLMA_10465	KLMA_70055
KLMA_40457	KLMA_20432
KLMA_10784	KLMA_10603
KLMA_60155	KLMA_30721
KLMA_80227	KLMA_50133
KLMA_40311	KLMA_80385
KLMA_60152	KLMA_70241
KLMA_30055	KLMA_60210
KLMA_50398	KLMA_50022
KLMA_70220	KLMA_40135
KLMA_60332	KLMA_50467
KLMA_30566	KLMA_10614
KLMA_10460	KLMA_10513
KLMA_60535	KLMA_10695
KLMA_20253	KLMA_60096
KLMA_30585	KLMA_40336
KLMA_70133	KLMA_20028
KLMA_60546	KLMA_60043
KLMA_40311	KLMA_70010 KLMA_80422 KLMA_80425
KLMA_30333	KLMA_80202
KLMA_50490	KLMA_20212
KLMA_40209	KLMA_10587
KLMA_30670	KLMA_40131
KLMA_30166	KLMA_70320
KLMA_30582	KLMA_20166
KLMA_10784	KLMA_60507
KLMA_30633	KLMA_10445
KLMA_30576	KLMA_70194
KLMA_80381	KLMA_50257
KLMA_30055	KLMA_80271
KLMA_80236	KLMA_10540
KLMA_20669	KLMA_80379
KLMA_30237	KLMA_40460
KLMA_30183	KLMA_10655
KLMA_40576	KLMA_20559
KLMA_40311	KLMA_40026
KLMA_80190	KLMA_10807
KLMA_10758	KLMA_10678
KLMA_30670	KLMA_30716
KLMA_10029	KLMA_40029
KLMA_80381	KLMA_70109
KLMA_40576	KLMA_50037
KLMA_50125	KLMA_50048
KLMA_10081	KLMA_70192
KLMA_20669	KLMA_40046
KLMA_20117	KLMA_40234
KLMA_40315	KLMA_60022
KLMA_60237	KLMA_80332
KLMA_60266	KLMA_30373
