"Gene"	"Degree"
"1"	"KLMA_60408"	11
"2"	"KLMA_40457"	10
"3"	"KLMA_20117"	10
"4"	"KLMA_10758"	10
"5"	"KLMA_20241"	10
"6"	"KLMA_40315"	9
"7"	"KLMA_80236"	9
"8"	"KLMA_40209"	9
"9"	"KLMA_20215"	9
"10"	"KLMA_20669"	9
"11"	"KLMA_50398"	9
"12"	"KLMA_20253"	9
"13"	"KLMA_60028"	9
"14"	"KLMA_30596"	9
"15"	"KLMA_50125"	8
"16"	"KLMA_60535"	8
"17"	"KLMA_50490"	8
"18"	"KLMA_20807"	8
"19"	"KLMA_50010"	8
"20"	"KLMA_20140"	8
"21"	"KLMA_20671"	8
"22"	"KLMA_40307"	8
"23"	"KLMA_70366"	7
"24"	"KLMA_30699"	7
"25"	"KLMA_60155"	7
"26"	"KLMA_60546"	7
"27"	"KLMA_80381"	7
"28"	"KLMA_20059"	7
"29"	"KLMA_10465"	7
"30"	"KLMA_30597"	7
"31"	"KLMA_30055"	7
"32"	"KLMA_30582"	7
"33"	"KLMA_10029"	7
"34"	"KLMA_10081"	7
"35"	"KLMA_60144"	7
"36"	"KLMA_30294"	7
"37"	"KLMA_60554"	7
"38"	"KLMA_10363"	7
"39"	"KLMA_70177"	7
"40"	"KLMA_80115"	6
"41"	"KLMA_20797"	6
"42"	"KLMA_60441"	6
"43"	"KLMA_20524"	6
"44"	"KLMA_80143"	6
"45"	"KLMA_30500"	6
"46"	"KLMA_80341"	6
"47"	"KLMA_10784"	6
"48"	"KLMA_60332"	6
"49"	"KLMA_70133"	6
"50"	"KLMA_30183"	6
"51"	"KLMA_60217"	6
"52"	"KLMA_20641"	6
"53"	"KLMA_10330"	6
"54"	"KLMA_40447"	6
"55"	"KLMA_80378"	6
"56"	"KLMA_30668"	5
"57"	"KLMA_30670"	5
"58"	"KLMA_40297"	5
"59"	"KLMA_40515"	5
"60"	"KLMA_30166"	5
"61"	"KLMA_20440"	5
"62"	"KLMA_60097"	5
"63"	"KLMA_40311"	5
"64"	"KLMA_70220"	5
"65"	"KLMA_30585"	5
"66"	"KLMA_30333"	5
"67"	"KLMA_30576"	5
"68"	"KLMA_80190"	5
"69"	"KLMA_60266"	5
"70"	"KLMA_20036"	5
