reaction	linear_coefficient
r_0001_EXP_1	0.04259539034162158
r_0001_EXP_2	0.005603960147458563
r_0001_EXP_3	1.0
r_0002	0.0362019756337698
r_0003	0.10647594504484849
r_0004_EXP_1	0.006165546959649989
r_0004_EXP_2	0.03317386224098684
r_0005	0.00919481039421997
r_0006	0.7403312759491498
r_0006_REV	0.7403312759491498
r_0007_EXP_1	0.009084974732338574
r_0007_EXP_2	0.0018179256698975012
r_0007_EXP_3	0.052666707734477666
r_0007_EXP_4	0.04363767629826988
r_0007_EXP_5	0.007011380256315653
r_0008_EXP_1	0.009084974732338574
r_0008_EXP_2	0.0018179256698975012
r_0008_EXP_3	0.052666707734477666
r_0008_EXP_4	0.04363767629826988
r_0008_EXP_5	0.007011380256315653
r_0009_EXP_1	0.009084974732338574
r_0009_EXP_2	0.0018179256698975012
r_0009_EXP_3	0.052666707734477666
r_0009_EXP_4	0.04363767629826988
r_0009_EXP_5	0.007011380256315653
r_0010_EXP_1	0.009084974732338574
r_0010_EXP_2	0.0018179256698975012
r_0010_EXP_3	0.052666707734477666
r_0010_EXP_4	0.04363767629826988
r_0010_EXP_5	0.007011380256315653
r_0011_EXP_1	0.2691803611390999
r_0011_EXP_2	0.13976786674925595
r_0011_EXP_3	0.005144272142653852
r_0011_EXP_4	0.019837547176939006
r_0011_EXP_5	0.018440983297939022
r_0011_EXP_6	0.017982826720526403
r_0012_EXP_1	0.2691803611390999
r_0012_EXP_2	0.13976786674925595
r_0012_EXP_3	0.005144272142653852
r_0012_EXP_4	0.019837547176939006
r_0012_EXP_5	0.018440983297939022
r_0012_EXP_6	0.017982826720526403
r_0013_EXP_1	0.2691803611390999
r_0013_EXP_2	0.13976786674925595
r_0013_EXP_3	0.005144272142653852
r_0013_EXP_4	0.019837547176939006
r_0013_EXP_5	0.0011854422477183184
r_0013_EXP_6	0.018362065537885757
r_0013_EXP_7	0.033704305455740775
r_0014_EXP_1	0.2691803611390999
r_0014_EXP_2	0.13976786674925595
r_0014_EXP_3	0.005144272142653852
r_0014_EXP_4	0.019837547176939006
r_0014_EXP_5	0.0011854422477183184
r_0014_EXP_6	0.018362065537885757
r_0014_EXP_7	0.033704305455740775
r_0015	0.13976786674925595
r_0016	0.0027654236856073946
r_0017	0.0014551082539111249
r_0018	1.0
r_0019	0.00917411243929229
r_0020	0.0705669007569365
r_0020_REV	0.0705669007569365
r_0021_EXP_1	0.23914129835406853
r_0021_EXP_2	0.4669679286093121
r_0021_EXP_3	0.0014334065432702072
r_0021_REV_EXP_1	0.23914129835406853
r_0021_REV_EXP_2	0.4669679286093121
r_0021_REV_EXP_3	0.0014334065432702072
r_0022	0.17733611777807962
r_0022_REV	0.17733611777807962
r_0023	0.3161771008848877
r_0023_REV	0.3161771008848877
r_0024_EXP_1	0.006240475897401868
r_0024_EXP_2	0.09361162912960061
r_0024_EXP_3	0.010159032878274202
r_0024_EXP_4	0.0048279501184113035
r_0024_REV_EXP_1	0.006240475897401868
r_0024_REV_EXP_2	0.09361162912960061
r_0024_REV_EXP_3	0.010159032878274202
r_0024_REV_EXP_4	0.0048279501184113035
r_0025	0.011319228906775558
r_0026	0.1519095529424385
r_0026_REV	0.1519095529424385
r_0027	0.17611956684276264
r_0028	0.0066983607386285424
r_0028_REV	0.0066983607386285424
r_0029_EXP_1	0.008795274266180925
r_0029_EXP_2	0.10842248005164037
r_0029_REV_EXP_1	0.008795274266180925
r_0029_REV_EXP_2	0.10842248005164037
r_0030	0.10842248005164037
r_0030_REV	0.10842248005164037
r_0031	0.0362019756337698
r_0032	0.11258901253291441
r_0033	0.011999050969468706
r_0034	0.033527270579694325
r_0034_REV	0.033527270579694325
r_0035_EXP_1	0.014309151257779686
r_0035_EXP_2	0.02082588873930587
r_0036_EXP_1	0.014309151257779686
r_0036_EXP_2	0.02082588873930587
r_0037_EXP_1	0.011637952596071494
r_0037_EXP_2	0.031080821364630737
r_0037_EXP_3	0.02890469326070779
r_0037_REV_EXP_1	0.011637952596071494
r_0037_REV_EXP_2	0.031080821364630737
r_0037_REV_EXP_3	0.02890469326070779
r_0038_EXP_1	0.011637952596071494
r_0038_EXP_2	0.031080821364630737
r_0038_EXP_3	0.02890469326070779
r_0038_REV_EXP_1	0.011637952596071494
r_0038_REV_EXP_2	0.031080821364630737
r_0038_REV_EXP_3	0.02890469326070779
r_0039	0.13066040590376307
r_0040_EXP_1	0.03789413085550315
r_0040_EXP_2	0.0005460547125918345
r_0041_EXP_1	0.03789413085550315
r_0041_EXP_2	0.0005460547125918345
r_0042	0.01106351186359756
r_0043	0.01106351186359756
r_0044	0.05601069983757438
r_0045_EXP_1	0.009268589290184702
r_0045_EXP_2	0.012209807112090425
r_0046	0.01106351186359756
r_0046_REV	0.01106351186359756
r_0047	0.02007731294328515
r_0047_REV	0.02007731294328515
r_0048_EXP_1	0.022433085014126473
r_0048_EXP_2	0.04550663052549383
r_0048_REV_EXP_1	0.022433085014126473
r_0048_REV_EXP_2	0.04550663052549383
r_0049_EXP_1	0.014309151257779686
r_0049_EXP_2	0.02082588873930587
r_0050_EXP_1	0.014309151257779686
r_0050_EXP_2	0.02082588873930587
r_0051_EXP_1	0.022433085014126473
r_0051_EXP_2	0.04550663052549383
r_0051_REV_EXP_1	0.022433085014126473
r_0051_REV_EXP_2	0.04550663052549383
r_0052	0.04045815723584802
r_0052_REV	0.04045815723584802
r_0053	0.04045815723584802
r_0053_REV	0.04045815723584802
r_0054	0.008975897104036361
r_0055	0.05601069983757438
r_0056_EXP_1	0.01125116668910154
r_0056_EXP_2	0.0015115710693901245
r_0057_EXP_1	0.002640827378970095
r_0057_EXP_2	0.004419406066558544
r_0057_EXP_3	0.00637377722057827
r_0057_EXP_4	0.008623781826094978
r_0058	0.005654112873294026
r_0058_REV	0.005654112873294026
r_0059	0.008646143759445998
r_0059_REV	0.008646143759445998
r_0060_EXP_1	0.0433459913456453
r_0060_EXP_2	0.00917411243929229
r_0060_REV_EXP_1	0.0433459913456453
r_0060_REV_EXP_2	0.00917411243929229
r_0061	0.07048821858980492
r_0062	0.007388170847427365
r_0062_REV	0.007388170847427365
r_0063	0.054051021799006296
r_0063_REV	0.054051021799006296
r_0064	0.003234636233994622
r_0065	0.015209996584037077
r_0065_REV	0.015209996584037077
r_0066	0.054051021799006296
r_0066_REV	0.054051021799006296
r_0067_EXP_1	0.01125116668910154
r_0067_EXP_2	0.0015115710693901245
r_0068	0.031106538195208012
r_0069	0.005654112873294026
r_0070_EXP_1	0.009084974732338574
r_0070_EXP_2	0.0018179256698975012
r_0070_EXP_3	0.052666707734477666
r_0070_EXP_4	0.04363767629826988
r_0070_EXP_5	0.007011380256315653
r_0070_REV_EXP_1	0.009084974732338574
r_0070_REV_EXP_2	0.0018179256698975012
r_0070_REV_EXP_3	0.052666707734477666
r_0070_REV_EXP_4	0.04363767629826988
r_0070_REV_EXP_5	0.007011380256315653
r_0071	0.05347319994757738
r_0072	0.056182998366598645
r_0072_REV	0.056182998366598645
r_0073	0.004984498738822403
r_0074	0.006631986507412567
r_0074_REV	0.006631986507412567
