reaction	linear_coefficient
r_0001_EXP_1	[0.0025226255651518118, 0.0023748664762415534, 0.0016522359756079214, 0.0016413223495779403, 0.0024996703402725994, 0.0024094935570164156]
r_0001_EXP_2	[0.01596408445867118, 0.01581358499851155, 0.013751185415844412, 0.013405474225061324, 0.014102778921206803, 0.012170363694478518]
r_0001_EXP_3	[0.00016742625965404943, 0.00020904922430371988, 0.00045340714387717, 0.0005201014679513869, 0.00029762053659165643, 0.0004573195295239959]
r_0002	[0.0021188771127807677, 0.0019843092668757156, 0.0025375249590398608, 0.0026248494387240365, 0.0017091909235666196, 0.0019066608529653374]
r_0003	[0.0008235174947569987, 0.0009014006409067981, 0.0011727044429156199, 0.0011692293467878124, 0.0005234717985076494, 0.0005756331069477798]
r_0004_EXP_1	[0.01243128550042454, 0.017003009227034783, 0.01267992033561371, 0.013405474225061324, 0.014228629500707626, 0.014389888854167603]
r_0004_EXP_2	[0.0022029913736914034, 0.002232845672835795, 0.0024821943975753646, 0.002369132395546053, 0.0019068107777431144, 0.001995396036033176]
r_0005	[0.012095630718949209, 0.012391315097152536, 0.010947770301643272, 0.010611089402590363, 0.012126580379441856, 0.011933736539630944]
r_0006	[0.0005207061554787154, 0.00047533823068951925, 0.00034274602094817863, 0.00030372550833924464, 0.00029762053659165643, 0.0004573195295239959]
r_0006_REV	[0.0005207061554787154, 0.00047533823068951925, 0.00034274602094817863, 0.00030372550833924464, 0.00029762053659165643, 0.0004573195295239959]
r_0007_EXP_1	[0.013625708005355555, 0.013434736541465079, 0.010412908207486492, 0.010611089402590363, 0.014228629500707626, 0.014389888854167603]
r_0007_EXP_2	[0.04511808729029694, 0.07130821392931229, 0.048185238167249275, 0.047395002536654574, 0.03567157443418415, 0.03450205143321742]
r_0007_EXP_3	[0.0014291401733135655, 0.0014339786536783975, 0.001283365565844613, 0.0013462642228341095, 0.0021608934473986087, 0.001995396036033176]
r_0007_EXP_4	[0.0018160657735024842, 0.0017002676600641957, 0.002814177766362341, 0.0026248494387240365, 0.002330281893835604, 0.0022320231908807405]
r_0007_EXP_5	[0.012095630718949209, 0.012391315097152536, 0.01267992033561371, 0.01263715520623133, 0.02754092900520845, 0.026841247295027595]
r_0008_EXP_1	[0.013625708005355555, 0.013434736541465079, 0.010412908207486492, 0.010611089402590363, 0.014228629500707626, 0.014389888854167603]
r_0008_EXP_2	[0.04511808729029694, 0.07130821392931229, 0.048185238167249275, 0.047395002536654574, 0.03567157443418415, 0.03450205143321742]
r_0008_EXP_3	[0.0014291401733135655, 0.0014339786536783975, 0.001283365565844613, 0.0013462642228341095, 0.0021608934473986087, 0.001995396036033176]
r_0008_EXP_4	[0.0018160657735024842, 0.0017002676600641957, 0.002814177766362341, 0.0026248494387240365, 0.002330281893835604, 0.0022320231908807405]
