reaction	linear_coefficient
r_0001	[0.0017828296910885086, 0.0013298212253866543, 0.0013354353277520651]
r_0002	[0.00713066343952225, 0.003720583097647543, 0.0056323367052709215]
r_0003	[0.0017941120407687448, 0.0012451091905427694, 0.0013169540315046758]
r_0004	[0.004355205418183217, 0.0035135092346958133, 0.0034515437480785592]
r_0005	[0.0010946063605938698, 0.000746249429795417, 0.000873402921567245]
r_0006	[0.001286406305157945, 0.0008780237062192448, 0.0009473281065568167]
r_0007	[0.0013541004032393863, 0.0009439108444311624, 0.0010304939396700828]
r_0008	[0.0013541004032393863, 0.0009439108444311624, 0.0010304939396700828]
r_0009	[0.0013541004032393863, 0.0009439108444311624, 0.0010304939396700828]
r_0010	[0.0013541004032393863, 0.0009439108444311624, 0.0010304939396700828]
r_0011	[0.0010946063605938698, 0.0006897747398994906, 0.0007625151440828877]
r_0012	[0.0010946063605938698, 0.0006897747398994906, 0.0007625151440828877]
r_0013	[0.0010946063605938698, 0.0006897747398994906, 0.0007625151440828877]
r_0014	[0.0010946063605938698, 0.0006897747398994906, 0.0007625151440828877]
r_0015	[0.008225051358505528, 0.006299593936228177, 0.00597424068584769]
r_0016	[0.005765499128213218, 0.0035040967863798206, 0.003470025044325948]
r_0017	[0.5609812092425023, 0.4633492592639604, 0.40795167471476745]
r_0018	[0.0017828296910885086, 0.0013298212253866543, 0.0013354353277520651]
r_0019	[0.26794474099762944, 0.24929135966176724, 0.18582497511735163]
r_0020	[0.0028884999597520223, 0.0018569183310819667, 0.001991521344534516]
r_0021	[0.0005869006249830711, 0.00040740129041985917, 0.0004945363484956904]
r_0022	[0.0005192065269016305, 0.00033210170389195656, 0.00042061116350611884]
r_0023	[0.0010946063605938698, 0.0006897747398994906, 0.0007532744959591911]
r_0024	[0.0016812885439663463, 0.0008780237062192448, 0.0010212532915463927]
r_0025	[0.0036782644373688257, 0.0026946262312048776, 0.002619885416945878]
r_0026	[0.0017038532433268307, 0.0008780237062192448, 0.0010212532915463927]
r_0027	[0.0023469471751005016, 0.0015745448816023352, 0.0017327831970710115]
r_0028	[0.09137596850187404, 0.08662542786486749, 0.07638797938841473]
r_0029	[0.0038249349832119445, 0.002976999680684509, 0.0028324203237908956]
r_0030	[0.0038249349832119445, 0.002976999680684509, 0.0028324203237908956]
r_0031	[0.00713066343952225, 0.003720583097647543, 0.0056323367052709215]
r_0032	[0.0028884999597520223, 0.0018569183310819667, 0.001991521344534516]
r_0033	[0.0029336293584729797, 0.0023275407468813522, 0.002296462732616498]
r_0034	[0.001884370838210671, 0.0012921714321227034, 0.001381638568370552]
r_0035	[0.0011961475077160283, 0.0007650743264273923, 0.0009473281065568167]
r_0036	[0.0011961475077160283, 0.0007650743264273923, 0.0009473281065568167]
r_0037	[0.001286406305157945, 0.0008027241196913433, 0.0009473281065568167]
r_0038	[0.001286406305157945, 0.0008027241196913433, 0.0009473281065568167]
r_0039	[0.003260817499199939, 0.002760513369416787, 0.002656848009440666]
r_0040	[0.0018505237891699503, 0.0011980469489628264, 0.001289232087133587]
r_0041	[0.0018505237891699503, 0.0011980469489628264, 0.001289232087133587]
r_0042	[0.005765499128213218, 0.004482991411242544, 0.004597384115416921]
r_0043	[0.005765499128213218, 0.004482991411242544, 0.004597384115416921]
r_0044	[0.001286406305157945, 0.0008121365680073309, 0.0009473281065568167]
r_0045	[0.002730547064228667, 0.0016027822265503025, 0.0019268368076686398]
r_0046	[0.005765499128213218, 0.004482991411242544, 0.004597384115416921]
r_0047	[0.0032720998488801876, 0.0020734046423496887, 0.002296462732616498]
r_0048	[0.0011735828083555488, 0.0007838992230593679, 0.0009196061621857272]
r_0049	[0.0011961475077160283, 0.0007650743264273923, 0.0009473281065568167]
r_0050	[0.0011961475077160283, 0.0007650743264273923, 0.0009473281065568167]
r_0051	[0.0011735828083555488, 0.0007838992230593679, 0.0009196061621857272]
r_0052	[0.0016812885439663463, 0.0008591988095872694, 0.0010120126434226937]
r_0053	[0.0016812885439663463, 0.0008591988095872694, 0.0010120126434226937]
r_0054	[0.003531593891525706, 0.0020734046423496887, 0.002619885416945878]
r_0055	[0.001286406305157945, 0.0008121365680073309, 0.0009473281065568167]
r_0056	[0.010763361594948924, 0.008650040002392724, 0.008732412476893154]
r_0057	[0.010763361594948924, 0.019655858096614732, 0.01758049472921048]
r_0058	[0.26794474099762944, 0.18471255176577533, 0.18582497511735163]
r_0059	[0.008935839388360641, 0.007570274458886524, 0.007674519940607839]
r_0060	[0.001884370838210671, 0.0012451091905427694, 0.0013539166239994634]
r_0061	[0.01068460358879784, 0.008650040002392724, 0.008732412476893154]
r_0062	[0.046314263878995676, 0.028296485650691518, 0.028465978218924878]
r_0063	[0.008225051358505528, 0.0059230960035886685, 0.006223738185187496]
r_0064	[0.010763361594948924, 0.008650040002392724, 0.008732412476893154]
r_0065	[0.0025725941687052994, 0.0016027822265503025, 0.0019268368076686398]
r_0066	[0.008225051358505528, 0.0059230960035886685, 0.006223738185187496]
r_0067	[0.010763361594948924, 0.008650040002392724, 0.008732412476893154]
r_0068	[0.010763361594948924, 0.008650040002392724, 0.008732412476893154]
r_0069	[0.26794474099762944, 0.18471255176577533, 0.18582497511735163]
r_0070	[0.0013541004032393863, 0.0009439108444311624, 0.0010304939396700828]
r_0071	[0.002922347008792743, 0.0019039805726619094, 0.0020192432889056043]
r_0072	[0.002335664825420266, 0.001828680986134008, 0.0017420238451947108]
r_0073	[0.005765499128213218, 0.0035040967863798206, 0.0038581322655212046]
r_0074	[0.0017264179426873033, 0.0011980469489628264, 0.0012707507908861887]
r_0075	[0.037886348667856444, 0.029576578621665794, 0.03150615145162102]
r_0076	[0.03759300757617014, 0.052279403959828226, 0.0369119306039834]
r_0077	[0.0017264179426873033, 0.0011980469489628264, 0.0012707507908861887]
r_0078	[0.0017264179426873033, 0.0011980469489628264, 0.0012707507908861887]
r_0079	[0.010763361594948924, 0.008650040002392724, 0.008732412476893154]
r_0080	[0.0005192065269016305, 0.00033210170389195656, 0.00042061116350611884]
r_0081	[0.0023469471751005016, 0.0015745448816023352, 0.0017327831970710115]
