reaction	linear_coefficient
r_0001_EXP_1	0.008879427639959447
r_0001_EXP_2	0.0036444173883281045
r_0001_EXP_3	0.1842071416708889
r_0002	0.03480626720515085
r_0003	0.18170246004187465
r_0004_EXP_1	0.00260644121774602
r_0004_EXP_2	0.056930954928101414
r_0005	0.5383939451826614
r_0006	0.30113741375689557
r_0006_REV	0.30113741375689557
r_0007_EXP_1	0.0015233356484429905
r_0007_EXP_2	0.001049476961872909
r_0007_EXP_3	0.07364011480453689
r_0007_EXP_4	0.26794474099762944
r_0007_EXP_5	0.0040844290258574625
r_0008_EXP_1	0.0015233356484429905
r_0008_EXP_2	0.001049476961872909
r_0008_EXP_3	0.07364011480453689
r_0008_EXP_4	0.26794474099762944
r_0008_EXP_5	0.0040844290258574625
r_0009_EXP_1	0.0015233356484429905
r_0009_EXP_2	0.001049476961872909
r_0009_EXP_3	0.07364011480453689
r_0009_EXP_4	0.26794474099762944
r_0009_EXP_5	0.0040844290258574625
r_0010_EXP_1	0.0015233356484429905
r_0010_EXP_2	0.001049476961872909
r_0010_EXP_3	0.07364011480453689
r_0010_EXP_4	0.26794474099762944
r_0010_EXP_5	0.0040844290258574625
r_0011_EXP_1	0.4676310479881972
r_0011_EXP_2	0.02946971580639739
r_0011_EXP_3	0.005190099294520976
r_0011_EXP_4	0.0314102799513986
r_0011_EXP_5	0.057748036431417155
r_0011_EXP_6	0.029402021708315924
r_0012_EXP_1	0.4676310479881972
r_0012_EXP_2	0.02946971580639739
r_0012_EXP_3	0.005190099294520976
r_0012_EXP_4	0.0314102799513986
r_0012_EXP_5	0.057748036431417155
r_0012_EXP_6	0.029402021708315924
r_0013_EXP_1	0.4676310479881972
r_0013_EXP_2	0.02946971580639739
r_0013_EXP_3	0.005190099294520976
r_0013_EXP_4	0.0314102799513986
r_0013_EXP_5	0.00023714778489563153
r_0013_EXP_6	0.020917694748775514
r_0013_EXP_7	0.059525895354556595
r_0014_EXP_1	0.4676310479881972
r_0014_EXP_2	0.02946971580639739
r_0014_EXP_3	0.005190099294520976
r_0014_EXP_4	0.0314102799513986
r_0014_EXP_5	0.00023714778489563153
