reaction	linear_coefficient
r_0001	[0.0008346169639217905, 0.0009272473949374902, 0.0010322046229306232]
r_0002	[0.0029066061109305065, 0.002189164117523241, 0.0024520140271202893]
r_0003	[0.0008901662708121091, 0.0009659904522098618, 0.0010322046229306232]
r_0004	[0.003528758348102029, 0.0034123377828366263, 0.0038437639569188554]
r_0005	[0.001112363498373361, 0.0011597057385717073, 0.0013127993668416214]
r_0006	[0.00046243660775668855, 0.0005508862671487574, 0.0006449838763334384]
r_0007	[0.0008957212015011375, 0.0010047335094822273, 0.0010770997819563846]
r_0008	[0.0008957212015011375, 0.0010047335094822273, 0.0010770997819563846]
r_0009	[0.0008957212015011375, 0.0010047335094822273, 0.0010770997819563846]
r_0010	[0.0008957212015011375, 0.0010047335094822273, 0.0010770997819563846]
r_0011	[0.00046243660775668855, 0.0005398168222137951, 0.0006337600865769985]
r_0012	[0.00046243660775668855, 0.0005398168222137951, 0.0006337600865769985]
r_0013	[0.00046243660775668855, 0.0005398168222137951, 0.0006337600865769985]
r_0014	[0.00046243660775668855, 0.0005398168222137951, 0.0006337600865769985]
r_0015	[0.0007957324490985743, 0.0005785598794861642, 0.0008133407226800407]
r_0016	[0.019860254573854395, 0.018217720383349324, 0.01877140433298415]
r_0017	[0.9677147428353527, 1.0, 1.0]
r_0018	[0.0008346169639217905, 0.0009272473949374902, 0.0010322046229306232]
r_0019	[0.022832142492486208, 0.017398581458162053, 0.013647744309169263]
r_0020	[0.0010790339142391732, 0.0011431015711692643, 0.0013127993668416214]
r_0021	[7.359145952448955e-05, 0.00010257374728276649, 3.3287334607454986e-05]
r_0022	[0.0005402056374031283, 0.0005619557120837204, 0.0006449838763334384]
r_0023	[0.0005402056374031283, 0.0005508862671487574, 0.0006449838763334384]
r_0024	[0.0008123972411656651, 0.0009659904522098618, 0.0010322046229306232]
r_0025	[0.001767845319679071, 0.0018072682672670287, 0.0021265241241835296]
r_0026	[0.001712296012788758, 0.0016965738179173994, 0.0019918386471062467]
r_0027	[0.00039577743948831124, 0.0005398168222137951, 0.0006225362968205586]
r_0028	[0.003795395021175537, 0.0034234072277715905, 0.004057015962291221]
r_0029	[0.001112363498373361, 0.0012648654654538517, 0.0013801421053802599]
r_0030	[0.001112363498373361, 0.0012648654654538517, 0.0013801421053802599]
r_0031	[0.0029066061109305065, 0.002189164117523241, 0.0024520140271202893]
r_0032	[0.0013123410031784933, 0.0013036085227262234, 0.0018908245392982859]
r_0033	[0.001767845319679071, 0.0020009835536288745, 0.0024183426578509664]
r_0034	[0.0013678903100688062, 0.0016965738179173994, 0.001907660223932947]
r_0035	[0.0012290170428430208, 0.0013312821350636307, 0.0014362610541624663]
r_0036	[0.0012290170428430208, 0.0013312821350636307, 0.0014362610541624663]
r_0037	[0.0013678903100688062, 0.0013257474125961516, 0.0019750029624715855]
r_0038	[0.0013678903100688062, 0.0013257474125961516, 0.0019750029624715855]
r_0039	[0.0012290170428430208, 0.0013036085227262234, 0.0018908245392982859]
r_0040	[0.0010790339142391732, 0.0011873793509091148, 0.0013240231565980602]
r_0041	[0.0010790339142391732, 0.0011873793509091148, 0.0013240231565980602]
r_0042	[0.002201129913423518, 0.002189164117523241, 0.0024183426578509664]
r_0043	[0.002201129913423518, 0.002189164117523241, 0.0024183426578509664]
r_0044	[0.0015678678148739386, 0.00174085159765725, 0.0020142862266191238]
r_0045	[0.004134245793206448, 0.0046244420032150475, 0.004404953444740858]
r_0046	[0.002201129913423518, 0.002189164117523241, 0.0024183426578509664]
r_0047	[0.002745513120948596, 0.002427157183624943, 0.0024183426578509664]
r_0048	[0.001112363498373361, 0.001281469632856301, 0.0013801421053802599]
r_0049	[0.0012290170428430208, 0.0013312821350636307, 0.0014362610541624663]
r_0050	[0.0012290170428430208, 0.0013312821350636307, 0.0014362610541624663]
r_0051	[0.001112363498373361, 0.001281469632856301, 0.0013801421053802599]
r_0052	[0.001973377755173232, 0.002189164117523241, 0.0024183426578509664]
r_0053	[0.001973377755173232, 0.002189164117523241, 0.0024183426578509664]
r_0054	[0.0049494432439269875, 0.00483734743657872, 0.0050843767596673506]
r_0055	[0.0015678678148739386, 0.00174085159765725, 0.0020142862266191238]
r_0056	[0.004289783852499331, 0.004646580893084975, 0.0050843767596673506]
r_0057	[0.0049494432439269875, 0.00483734743657872, 0.0050843767596673506]
r_0058	[0.037658252501511044, 0.02460479011082279, 0.0402986330858362]
r_0059	[0.002745513120948596, 0.002189164117523241, 0.0030075916200640695]
r_0060	[0.0015900875376300637, 0.0014087682496083677, 0.0018964364341765084]
r_0061	[0.0015845326069410357, 0.001724247430254807, 0.0020030624368626852]
r_0062	[0.0049494432439269875, 0.00483734743657872, 0.0050843767596673506]
r_0063	[0.002973265279198888, 0.0032296919414097386, 0.0027943396146917093]
r_0064	[0.0049494432439269875, 0.00483734743657872, 0.0050843767596673506]
r_0065	[0.0013678903100688062, 0.0017076432628523636, 0.0018908245392982859]
r_0066	[0.002973265279198888, 0.0032296919414097386, 0.0027943396146917093]
r_0067	[0.004289783852499331, 0.004646580893084975, 0.0050843767596673506]
