reaction	linear_coefficient
r_0001_EXP_1	0.007128353434594388
r_0001_EXP_2	0.007749642792160005
r_0001_EXP_3	0.2007805409732226
r_0002	0.01933019959931303
r_0003	0.15773146962115236
r_0004_EXP_1	0.0019806148573498082
r_0004_EXP_2	0.014568095069197337
r_0005	0.0766356524223107
r_0006	0.4792767060919502
r_0006_REV	0.4792767060919502
r_0007_EXP_1	0.0012012423893978676
r_0007_EXP_2	0.0007740574585325022
r_0007_EXP_3	0.04134244553318512
r_0007_EXP_4	0.12013963462201872
r_0007_EXP_5	0.003377976682026596
r_0008_EXP_1	0.0012012423893978676
r_0008_EXP_2	0.0007740574585325022
r_0008_EXP_3	0.04134244553318512
r_0008_EXP_4	0.12013963462201872
r_0008_EXP_5	0.003377976682026596
r_0009_EXP_1	0.0012012423893978676
r_0009_EXP_2	0.0007740574585325022
r_0009_EXP_3	0.04134244553318512
r_0009_EXP_4	0.12013963462201872
r_0009_EXP_5	0.003377976682026596
r_0010_EXP_1	0.0012012423893978676
r_0010_EXP_2	0.0007740574585325022
r_0010_EXP_3	0.04134244553318512
r_0010_EXP_4	0.12013963462201872
r_0010_EXP_5	0.003377976682026596
r_0011_EXP_1	0.504144214138344
r_0011_EXP_2	0.2745860650770867
r_0011_EXP_3	0.004500871218682526
r_0011_EXP_4	0.03560292814656938
r_0011_EXP_5	0.008019013746314545
r_0011_EXP_6	0.0249930105305194
r_0012_EXP_1	0.504144214138344
r_0012_EXP_2	0.2745860650770867
r_0012_EXP_3	0.004500871218682526
r_0012_EXP_4	0.03560292814656938
r_0012_EXP_5	0.008019013746314545
r_0012_EXP_6	0.0249930105305194
r_0013_EXP_1	0.504144214138344
r_0013_EXP_2	0.2745860650770867
r_0013_EXP_3	0.004500871218682526
r_0013_EXP_4	0.03560292814656938
r_0013_EXP_5	0.0002745988143709161
r_0013_EXP_6	0.016706227017799165
r_0013_EXP_7	0.1362180033900523
r_0014_EXP_1	0.504144214138344
r_0014_EXP_2	0.2745860650770867
r_0014_EXP_3	0.004500871218682526
r_0014_EXP_4	0.03560292814656938
r_0014_EXP_5	0.0002745988143709161
r_0014_EXP_6	0.016706227017799165
r_0014_EXP_7	0.1362180033900523
r_0015	0.2745860650770867
r_0016	0.0026344145071679702
r_0017	0.0001247126371526918
r_0018	0.2007805409732226
r_0019	0.003967225644239699
r_0020	0.08525427890948356
r_0020_REV	0.08525427890948356
r_0021_EXP_1	0.3016896010003429
r_0021_EXP_2	1.0
r_0021_EXP_3	0.0003307177631531164
r_0021_REV_EXP_1	0.3016896010003429
r_0021_REV_EXP_2	1.0
r_0021_REV_EXP_3	0.0003307177631531164
r_0022	0.30907845549443064
r_0022_REV	0.30907845549443064
r_0023	0.35671125155671923
r_0023_REV	0.35671125155671923
r_0024_EXP_1	0.002839946942662131
r_0024_EXP_2	0.18226420819837663
r_0024_EXP_3	0.007928671316301403
r_0024_EXP_4	0.0050843767596673506
