Gene_names,GO_IDs,GO_terms
ARO1,GO:0003855,3-dehydroquinate dehydratase activity
ARO1,GO:0003856,3-dehydroquinate synthase activity
ARO1,GO:0003866,3-phosphoshikimate 1-carboxyvinyltransferase activity
ARO1,GO:0004764,shikimate 3-dehydrogenase (NADP+) activity
ARO1,GO:0004765,shikimate kinase activity
ARO1,GO:0005524,ATP binding
ARO1,GO:0005737,cytoplasm
ARO1,GO:0008652,amino acid biosynthetic process
ARO1,GO:0009073,aromatic amino acid family biosynthetic process
ARO1,GO:0009423,chorismate biosynthetic process
ARO1,GO:0016310,phosphorylation
ARO1,GO:0046872,metal ion binding
ATG1,GO:0004674,protein serine/threonine kinase activity
ATG1,GO:0005524,ATP binding
ATG1,GO:0006468,protein phosphorylation
ATG1,GO:0006914,autophagy
ATG1,GO:0015031,protein transport
ATG1,GO:0034045,phagophore assembly site membrane
ATG1,GO:0106310,protein serine kinase activity
FAS1,GO:0004313,[acyl-carrier-protein] S-acetyltransferase activity
FAS1,GO:0004314,[acyl-carrier-protein] S-malonyltransferase activity
FAS1,GO:0004317,(3R)-hydroxypalmitoyl-[acyl-carrier-protein] dehydratase activity
FAS1,GO:0004318,enoyl-[acyl-carrier-protein] reductase (NADH) activity
FAS1,GO:0004320,oleoyl-[acyl-carrier-protein] hydrolase activity
FAS1,GO:0004321,fatty-acyl-CoA synthase activity
FAS1,GO:0005835,fatty acid synthase complex
FAS1,GO:0006633,fatty acid biosynthetic process
FAS1,GO:0008659,(3R)-hydroxymyristoyl-[acyl-carrier-protein] dehydratase activity
FAS1,GO:0008693,(3R)-3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase activity
FAS1,GO:0016295,myristoyl-[acyl-carrier-protein] hydrolase activity
FAS1,GO:0016296,palmitoyl-[acyl-carrier-protein] hydrolase activity
FAS1,GO:0016631,enoyl-[acyl-carrier-protein] reductase activity
FAS1,GO:0047451,(3R)-3-hydroxyoctanoyl-[acyl-carrier-protein] dehydratase activity
INU1,GO:0005576,extracellular region
INU1,GO:0005975,carbohydrate metabolic process
INU1,GO:0051670,inulinase activity
THC1,GO:0005811,lipid droplet
THC1,GO:0016020,membrane
THC1,GO:0016104,triterpenoid biosynthetic process
THC1,GO:0016126,sterol biosynthetic process
THC1,GO:0016829,lyase activity
THC1,GO:0016866,intramolecular transferase activity
COQ3,GO:0004395,hexaprenyldihydroxybenzoate methyltransferase activity
COQ3,GO:0006744,ubiquinone biosynthetic process
COQ3,GO:0008425,"2-polyprenyl-6-methoxy-1,4-benzoquinone methyltransferase activity"
COQ3,GO:0008689,3-demethylubiquinone-9 3-O-methyltransferase activity
COQ3,GO:0031314,extrinsic component of mitochondrial inner membrane
COQ3,GO:0032259,methylation
COQ3,GO:0061543,3-demethylubiquinol-6 3-O-methyltransferase activity
EAT1,GO:0003986,acetyl-CoA hydrolase activity
