Gene_names,GO_terms,GO_names
KLMA_40161,GO:0003855,3-dehydroquinate dehydratase activity
KLMA_40161,GO:0003856,3-dehydroquinate synthase activity
KLMA_40161,GO:0003866,3-phosphoshikimate 1-carboxyvinyltransferase activity
KLMA_40161,GO:0004764,shikimate 3-dehydrogenase (NADP+) activity
KLMA_40161,GO:0004765,shikimate kinase activity
KLMA_40161,GO:0005524,ATP binding
KLMA_40161,GO:0005737,cytoplasm
KLMA_40161,GO:0008652,amino acid biosynthetic process
KLMA_40161,GO:0009073,aromatic amino acid family biosynthetic process
KLMA_40161,GO:0009423,chorismate biosynthetic process
KLMA_40161,GO:0016310,phosphorylation
KLMA_40161,GO:0046872,metal ion binding
KLMA_30321,GO:0004674,protein serine/threonine kinase activity
KLMA_30321,GO:0005524,ATP binding
KLMA_30321,GO:0006468,protein phosphorylation
KLMA_30321,GO:0006914,autophagy
KLMA_30321,GO:0015031,protein transport
KLMA_30321,GO:0034045,phagophore assembly site membrane
KLMA_30321,GO:0106310,protein serine kinase activity
KLMA_40526,GO:0004313,[acyl-carrier-protein] S-acetyltransferase activity
KLMA_40526,GO:0004314,[acyl-carrier-protein] S-malonyltransferase activity
KLMA_40526,GO:0004317,(3R)-hydroxypalmitoyl-[acyl-carrier-protein] dehydratase activity
KLMA_40526,GO:0004318,enoyl-[acyl-carrier-protein] reductase (NADH) activity
KLMA_40526,GO:0004320,oleoyl-[acyl-carrier-protein] hydrolase activity
KLMA_40526,GO:0004321,fatty-acyl-CoA synthase activity
KLMA_40526,GO:0005835,fatty acid synthase complex
KLMA_40526,GO:0006633,fatty acid biosynthetic process
KLMA_40526,GO:0008659,(3R)-hydroxymyristoyl-[acyl-carrier-protein] dehydratase activity
KLMA_40526,GO:0008693,(3R)-3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase activity
KLMA_40526,GO:0016295,myristoyl-[acyl-carrier-protein] hydrolase activity
KLMA_40526,GO:0016296,palmitoyl-[acyl-carrier-protein] hydrolase activity
KLMA_40526,GO:0016631,enoyl-[acyl-carrier-protein] reductase activity
KLMA_40526,GO:0047451,(3R)-3-hydroxyoctanoyl-[acyl-carrier-protein] dehydratase activity
KLMA_10163,GO:0004395,hexaprenyldihydroxybenzoate methyltransferase activity
KLMA_10163,GO:0006744,ubiquinone biosynthetic process
KLMA_10163,GO:0008425,"2-polyprenyl-6-methoxy-1,4-benzoquinone methyltransferase activity"
KLMA_10163,GO:0008689,3-demethylubiquinone-9 3-O-methyltransferase activity
KLMA_10163,GO:0031314,extrinsic component of mitochondrial inner membrane
KLMA_10163,GO:0032259,methylation
KLMA_10163,GO:0061543,3-demethylubiquinol-6 3-O-methyltransferase activity
KLMA_10805,GO:0003986,acetyl-CoA hydrolase activity
KLMA_10805,GO:0005739,mitochondrion
KLMA_10805,GO:0016740,transferase activity
KLMA_20199,GO:0006914,autophagy
KLMA_20199,GO:0015031,protein transport
KLMA_20199,GO:0034045,phagophore assembly site membrane
KLMA_30042,GO:0000166,nucleotide binding
KLMA_30042,GO:0005634,nucleus
KLMA_30042,GO:0005737,cytoplasm
KLMA_30042,GO:0009117,nucleotide metabolic process
KLMA_30042,GO:0009204,deoxyribonucleoside triphosphate catabolic process
KLMA_30042,GO:0035870,dITP diphosphatase activity
KLMA_30042,GO:0036220,ITP diphosphatase activity
KLMA_30042,GO:0036222,XTP diphosphatase activity
KLMA_30042,GO:0046872,metal ion binding
KLMA_40433,GO:0000407,phagophore assembly site
KLMA_40433,GO:0006914,autophagy
KLMA_40433,GO:0008641,ubiquitin-like modifier activating enzyme activity
KLMA_40433,GO:0015031,protein transport
KLMA_40473,GO:0000045,autophagosome assembly
