Family	Species	Gene
KLMA_10001	Kmarx	KLMA_10001
KLMA_10004	Kmarx	KLMA_10004
KLMA_10005	Kmarx	KLMA_10005
KLMA_10006	Kmarx	KLMA_10006
KLMA_10007	Kmarx	KLMA_10007
KLMA_10008	Kmarx	KLMA_10008
KLMA_10010	Kmarx	KLMA_10010
KLMA_10011	Kmarx	KLMA_10011
KLMA_10014	Kmarx	KLMA_10014
KLMA_10015	Kmarx	KLMA_10015
KLMA_10016	Kmarx	KLMA_10016
KLMA_10018	Kmarx	KLMA_10018
KLMA_10020	Kmarx	KLMA_10020
KLMA_10021	Kmarx	KLMA_10021
KLMA_10022	Kmarx	KLMA_10022
KLMA_10024	Kmarx	KLMA_10024
KLMA_10025	Kmarx	KLMA_10025
KLMA_10029	Kmarx	KLMA_10029
KLMA_10031	Kmarx	KLMA_10031
KLMA_10032	Kmarx	KLMA_10032
KLMA_10033	Kmarx	KLMA_10033
KLMA_10034	Kmarx	KLMA_10034
KLMA_10035	Kmarx	KLMA_10035
KLMA_10036	Kmarx	KLMA_10036
KLMA_10037	Kmarx	KLMA_10037
KLMA_10038	Kmarx	KLMA_10038
KLMA_10043	Kmarx	KLMA_10043
KLMA_10044	Kmarx	KLMA_10044
KLMA_10045	Kmarx	KLMA_10045
KLMA_10046	Kmarx	KLMA_10046
KLMA_10047	Kmarx	KLMA_10047
KLMA_10048	Kmarx	KLMA_10048
KLMA_10049	Kmarx	KLMA_10049
KLMA_10050	Kmarx	KLMA_10050
KLMA_10051	Kmarx	KLMA_10051
KLMA_10052	Kmarx	KLMA_10052
KLMA_10053	Kmarx	KLMA_10053
KLMA_10054	Kmarx	KLMA_10054
KLMA_10058	Kmarx	KLMA_10058
KLMA_10059	Kmarx	KLMA_10059
KLMA_10060	Kmarx	KLMA_10060
KLMA_10062	Kmarx	KLMA_10062
KLMA_10063	Kmarx	KLMA_10063
KLMA_10064	Kmarx	KLMA_10064
KLMA_10065	Kmarx	KLMA_10065
KLMA_10066	Kmarx	KLMA_10066
KLMA_10067	Kmarx	KLMA_10067
KLMA_10069	Kmarx	KLMA_10069
KLMA_10070	Kmarx	KLMA_10070
KLMA_10071	Kmarx	KLMA_10071
KLMA_10072	Kmarx	KLMA_10072
KLMA_10073	Kmarx	KLMA_10073
KLMA_10075	Kmarx	KLMA_10075
KLMA_10077	Kmarx	KLMA_10077
KLMA_10078	Kmarx	KLMA_10078
KLMA_10079	Kmarx	KLMA_10079
KLMA_10080	Kmarx	KLMA_10080
KLMA_10081	Kmarx	KLMA_10081
KLMA_10082	Kmarx	KLMA_10082
KLMA_10083	Kmarx	KLMA_10083
KLMA_10084	Kmarx	KLMA_10084
KLMA_10085	Kmarx	KLMA_10085
KLMA_10086	Kmarx	KLMA_10086
KLMA_10088	Kmarx	KLMA_10088
KLMA_10089	Kmarx	KLMA_10089
KLMA_10090	Kmarx	KLMA_10090
KLMA_10091	Kmarx	KLMA_10091
KLMA_10092	Kmarx	KLMA_10092
KLMA_10093	Kmarx	KLMA_10093
KLMA_10094	Kmarx	KLMA_10094
KLMA_10095	Kmarx	KLMA_10095
KLMA_10097	Kmarx	KLMA_10097
KLMA_10098	Kmarx	KLMA_10098
KLMA_10099	Kmarx	KLMA_10099
KLMA_10100	Kmarx	KLMA_10100
KLMA_10101	Kmarx	KLMA_10101
KLMA_10102	Kmarx	KLMA_10102
KLMA_10103	Kmarx	KLMA_10103
KLMA_10104	Kmarx	KLMA_10104
KLMA_10106	Kmarx	KLMA_10106
KLMA_10107	Kmarx	KLMA_10107
KLMA_10108	Kmarx	KLMA_10108
KLMA_10109	Kmarx	KLMA_10109
KLMA_10110	Kmarx	KLMA_10110
KLMA_10111	Kmarx	KLMA_10111
KLMA_10112	Kmarx	KLMA_10112
KLMA_10114	Kmarx	KLMA_10114
KLMA_10115	Kmarx	KLMA_10115
KLMA_10116	Kmarx	KLMA_10116
KLMA_10117	Kmarx	KLMA_10117
KLMA_10118	Kmarx	KLMA_10118
KLMA_10121	Kmarx	KLMA_10121
KLMA_10122	Kmarx	KLMA_10122
KLMA_10123	Kmarx	KLMA_10123
KLMA_10124	Kmarx	KLMA_10124
KLMA_10125	Kmarx	KLMA_10125
KLMA_10126	Kmarx	KLMA_10126
KLMA_10127	Kmarx	KLMA_10127
KLMA_10128	Kmarx	KLMA_10128
KLMA_10129	Kmarx	KLMA_10129
KLMA_10130	Kmarx	KLMA_10130
KLMA_10131	Kmarx	KLMA_10131
KLMA_10132	Kmarx	KLMA_10132
KLMA_10133	Kmarx	KLMA_10133
KLMA_10134	Kmarx	KLMA_10134
KLMA_10138	Kmarx	KLMA_10138
KLMA_10139	Kmarx	KLMA_10139
KLMA_10140	Kmarx	KLMA_10140
KLMA_10141	Kmarx	KLMA_10141
KLMA_10142 KLMA_30022	Kmarx	KLMA_10142 KLMA_30022
KLMA_10143 KLMA_30021	Kmarx	KLMA_10143 KLMA_30021
KLMA_10144	Kmarx	KLMA_10144
KLMA_10149	Kmarx	KLMA_10149
